ISO,COUNTRYNM,country_sd
ABW,aruba,0.008188297714493545
AFG,afghanistan,0.007124310685826575
AGO,angola,0.006305443495680065
ALB,albania,0.009373076862929005
AND,andorra,0.009477381622548681
ARE,united arab emirates,0.009468431354254764
ARG,argentina,0.003753821899766363
ARM,armenia,0.011249280712441448
ASM,american samoa,0.010089046336128935
ATG,antigua and barbuda,0.008141035889609273
AUS,australia,0.003242303804414204
AUT,austria,0.005539920970585514
AZE,azerbaijan,0.012884495478093816
BDI,burundi,0.004953398056152626
BEL,belgium,0.0033927192121809813
BEN,benin,0.009011680698568031
BES,"bonaire, saint eustatius and saba",0.009138396815512076
BFA,burkina faso,0.004257480659795633
BGD,bangladesh,0.013437439308855242
BGR,bulgaria,0.008034329260846587
BHR,bahrain,0.015389682661596252
BHS,bahamas,0.010568371174766071
BIH,bosnia and herzegovina,0.0070576208602798896
BLR,belarus,0.011809615364905606
BLZ,belize,0.008531875079423337
BMU,bermuda,0.007935612915543483
BOL,bolivia (plurinational state of),0.004209749711374046
BRA,brazil,0.006326850967389881
BRB,barbados,0.006366919732301507
BRN,brunei darussalam,0.006838805747416517
BTN,bhutan,0.012523991765975262
BWA,botswana,0.005150061635946411
CAF,central african republic,0.009866210275982779
CAN,canada,0.0056147387294564755
CHE,switzerland,0.004149727391721096
CHL,chile,0.008040661237672558
CHN,china,0.01283929581190763
CIV,cote d'ivoire,0.001907973135326154
CMR,cameroon,0.002606983527470063
COD,democratic republic of the congo,0.0018072277800989707
COG,congo,0.004744381036300742
COK,cook islands,0.011411843356182998
COL,colombia,0.011238227183796459
COM,comoros,0.007536883869490034
CPV,cape verde,0.009677474139801018
CRI,costa rica,0.007082843125675975
CUB,cuba,0.01043195702681318
CUW,curacao,0.011145007269497033
CYM,cayman islands,0.007356960951145765
CYP,cyprus,0.01102146674997261
CZE,czech republic,0.00678331307262561
DEU,germany,0.008548585521408442
DJI,djibouti,0.008076700861711491
DMA,dominica,0.012228097204623437
DNK,denmark,0.005313580251374193
DOM,dominican republic,0.005001036480935847
DZA,algeria,0.014045968671298986
ECU,ecuador,0.005450825405367611
EGY,egypt,0.010102861318811773
ERI,eritrea,0.012031923813574041
ESH,western sahara,0.009281451375991082
ESP,spain,0.008365399851164593
EST,estonia,0.008531075711743151
ETH,ethiopia,0.010653843185773384
FIN,finland,0.006491668428625229
FJI,fiji,0.00551675344968415
FRA,france,0.005889853609329737
FRO,faeroe islands,0.005261165028012715
FSM,micronesia (federated states of),0.0063173791568102615
GAB,gabon,0.00500528375215311
GBR,united kingdom of great britain and northern ireland,0.004023984038136218
GEO,georgia,0.01203433324484559
GGY,guernsey,0.005525949521670094
GHA,ghana,0.00343789480223741
GIN,guinea,0.012540702930317884
GLP,guadeloupe,0.011240531803339447
GMB,gambia,0.008528601273647712
GNB,guinea-bissau,0.004176131426975811
GNQ,equatorial guinea,0.01188240732960945
GRC,greece,0.007207100751253022
GRD,grenada,0.014644994242827383
GRL,greenland,0.013781218170872656
GTM,guatemala,0.012960344074027704
GUF,french guiana,0.007121401832965321
GUM,guam,0.006566192702418171
GUY,guyana,0.006845910904332578
HKG,"china, hong kong special administrative region",0.009227405190313892
HND,honduras,0.006142303486009415
HRV,croatia,0.006490115177568111
HTI,haiti,0.007866987771285583
HUN,hungary,0.006700980892647095
IDN,indonesia,0.004666416245014161
IMN,isle of man,0.006833394518986925
IND,india,0.006798423175426407
IRL,ireland,0.00706193056598783
IRN,iran (islamic republic of),0.015735342096522886
IRQ,iraq,0.006173243766200561
ISL,iceland,0.004694902056977257
ISR,israel,0.0038160079004125407
ITA,italy,0.01452027628859049
JAM,jamaica,0.007258195065350424
JEY,jersey,0.006230529595015576
JOR,jordan,0.006412849090715558
JPN,japan,0.008163278616294189
KAZ,kazakhstan,0.013470228024926858
KEN,kenya,0.007532658898841443
KGZ,kyrgyzstan,0.011108449931532269
KHM,cambodia,0.011711566080996619
KIR,kiribati,0.007007561509091852
KNA,saint kitts and nevis,0.013517453173665298
KOR,republic of korea,0.009695151915190109
KWT,kuwait,0.029873341268818503
LAO,lao people's democratic republic,0.011991307775462756
LBN,lebanon,0.00784874073635542
LBR,liberia,0.004522143101168187
LBY,libya,0.011335248159916827
LCA,saint lucia,0.007738762589200342
LIE,liechtenstein,0.0060743004087713505
LKA,sri lanka,0.005379636715487676
LSO,lesotho,0.007535696328577914
LTU,lithuania,0.010870849580527002
LUX,luxembourg,0.002844522105243242
LVA,latvia,0.010172000155086782
MAC,"china, macao special administrative region",0.015779092702169626
MAR,morocco,0.004672267574674103
MCO,monaco,0.020938494203005753
MDA,republic of moldova,0.016778152069922624
MDG,madagascar,0.0054292035361594064
MDV,maldives,0.028171679519707598
MEX,mexico,0.00489572031297827
MHL,marshall islands,0.016009390659585506
MKD,the former yugoslav republic of macedonia,0.004879886077822203
MLI,mali,0.002804087731921793
MLT,malta,0.0068155132222257235
MMR,myanmar,0.005798685431115058
MNE,montenegro,0.006777322267014521
MNG,mongolia,0.015345980004693888
MNP,northern mariana islands,0.018263326258323626
MOZ,mozambique,0.009532474906965765
MRT,mauritania,0.007889194498681315
