OBJECTID,ISO,NAME_0,ID_1,TYPE_1,version,admin1name
1,AFG,afghanistan,1,velayat,original,badakhshan
1,AFG,afghanistan,1,velayat,var,badahsan
1,AFG,afghanistan,1,velayat,var,badakhshanvelayat
1,AFG,afghanistan,1,velayat,var,badakhshan-velayat
1,AFG,afghanistan,1,velayat,var,badakhshan velayat
1,AFG,afghanistan,1,velayat,var,badahsanvelayat
1,AFG,afghanistan,1,velayat,var,badahsan-velayat
1,AFG,afghanistan,1,velayat,var,badahsan velayat
2,AFG,afghanistan,2,velayat,original,badghis
2,AFG,afghanistan,2,velayat,var,badghes
2,AFG,afghanistan,2,velayat,var,badghisat
2,AFG,afghanistan,2,velayat,var,badgis
2,AFG,afghanistan,2,velayat,var,badghisvelayat
2,AFG,afghanistan,2,velayat,var,badghis-velayat
2,AFG,afghanistan,2,velayat,var,badghis velayat
2,AFG,afghanistan,2,velayat,var,badghesvelayat
2,AFG,afghanistan,2,velayat,var,badghes-velayat
2,AFG,afghanistan,2,velayat,var,badghes velayat
2,AFG,afghanistan,2,velayat,var,badghisatvelayat
2,AFG,afghanistan,2,velayat,var,badghisat-velayat
2,AFG,afghanistan,2,velayat,var,badghisat velayat
2,AFG,afghanistan,2,velayat,var,badgisvelayat
2,AFG,afghanistan,2,velayat,var,badgis-velayat
2,AFG,afghanistan,2,velayat,var,badgis velayat
3,AFG,afghanistan,3,velayat,original,baghlan
3,AFG,afghanistan,3,velayat,var,baglan
3,AFG,afghanistan,3,velayat,var,bughlan
3,AFG,afghanistan,3,velayat,var,baghlanvelayat
3,AFG,afghanistan,3,velayat,var,baghlan-velayat
3,AFG,afghanistan,3,velayat,var,baghlan velayat
3,AFG,afghanistan,3,velayat,var,baglanvelayat
3,AFG,afghanistan,3,velayat,var,baglan-velayat
3,AFG,afghanistan,3,velayat,var,baglan velayat
3,AFG,afghanistan,3,velayat,var,bughlanvelayat
3,AFG,afghanistan,3,velayat,var,bughlan-velayat
3,AFG,afghanistan,3,velayat,var,bughlan velayat
4,AFG,afghanistan,4,velayat,original,balkh
4,AFG,afghanistan,4,velayat,var,balh
4,AFG,afghanistan,4,velayat,var,mazar-i-sharif
4,AFG,afghanistan,4,velayat,var,mazar
4,AFG,afghanistan,4,velayat,var,balkhvelayat
4,AFG,afghanistan,4,velayat,var,balkh-velayat
4,AFG,afghanistan,4,velayat,var,balkh velayat
4,AFG,afghanistan,4,velayat,var,balhvelayat
4,AFG,afghanistan,4,velayat,var,balh-velayat
4,AFG,afghanistan,4,velayat,var,balh velayat
4,AFG,afghanistan,4,velayat,var,mazar-i-sharifvelayat
4,AFG,afghanistan,4,velayat,var,mazar-i-sharif-velayat
4,AFG,afghanistan,4,velayat,var,mazar-i-sharif velayat
4,AFG,afghanistan,4,velayat,var,mazar i sharif
4,AFG,afghanistan,4,velayat,var,mazarvelayat
4,AFG,afghanistan,4,velayat,var,mazar-velayat
4,AFG,afghanistan,4,velayat,var,mazar velayat
5,AFG,afghanistan,5,velayat,original,bamyan
5,AFG,afghanistan,5,velayat,var,bamyanvelayat
5,AFG,afghanistan,5,velayat,var,bamyan-velayat
5,AFG,afghanistan,5,velayat,var,bamyan velayat
6,AFG,afghanistan,6,velayat,original,daykundi
6,AFG,afghanistan,6,velayat,var,daykundivelayat
6,AFG,afghanistan,6,velayat,var,daykundi-velayat
6,AFG,afghanistan,6,velayat,var,daykundi velayat
7,AFG,afghanistan,7,velayat,original,farah
7,AFG,afghanistan,7,velayat,var,farahvelayat
7,AFG,afghanistan,7,velayat,var,farah-velayat
7,AFG,afghanistan,7,velayat,var,farah velayat
8,AFG,afghanistan,8,velayat,original,faryab
8,AFG,afghanistan,8,velayat,var,fariab
8,AFG,afghanistan,8,velayat,var,maimana
8,AFG,afghanistan,8,velayat,var,meymaneh
8,AFG,afghanistan,8,velayat,var,faryabvelayat
8,AFG,afghanistan,8,velayat,var,faryab-velayat
8,AFG,afghanistan,8,velayat,var,faryab velayat
8,AFG,afghanistan,8,velayat,var,fariabvelayat
8,AFG,afghanistan,8,velayat,var,fariab-velayat
8,AFG,afghanistan,8,velayat,var,fariab velayat
8,AFG,afghanistan,8,velayat,var,maimanavelayat
8,AFG,afghanistan,8,velayat,var,maimana-velayat
8,AFG,afghanistan,8,velayat,var,maimana velayat
8,AFG,afghanistan,8,velayat,var,meymanehvelayat
8,AFG,afghanistan,8,velayat,var,meymaneh-velayat
8,AFG,afghanistan,8,velayat,var,meymaneh velayat
9,AFG,afghanistan,9,velayat,original,ghazni
9,AFG,afghanistan,9,velayat,var,gazni
9,AFG,afghanistan,9,velayat,var,ghaznivelayat
9,AFG,afghanistan,9,velayat,var,ghazni-velayat
9,AFG,afghanistan,9,velayat,var,ghazni velayat
9,AFG,afghanistan,9,velayat,var,gaznivelayat
9,AFG,afghanistan,9,velayat,var,gazni-velayat
9,AFG,afghanistan,9,velayat,var,gazni velayat
10,AFG,afghanistan,10,velayat,original,ghor
10,AFG,afghanistan,10,velayat,var,gawr
10,AFG,afghanistan,10,velayat,var,ghore
10,AFG,afghanistan,10,velayat,var,ghour
10,AFG,afghanistan,10,velayat,var,ghur
10,AFG,afghanistan,10,velayat,var,ghorvelayat
10,AFG,afghanistan,10,velayat,var,ghor-velayat
10,AFG,afghanistan,10,velayat,var,ghor velayat
10,AFG,afghanistan,10,velayat,var,gawrvelayat
10,AFG,afghanistan,10,velayat,var,gawr-velayat
10,AFG,afghanistan,10,velayat,var,gawr velayat
10,AFG,afghanistan,10,velayat,var,ghorevelayat
10,AFG,afghanistan,10,velayat,var,ghore-velayat
10,AFG,afghanistan,10,velayat,var,ghore velayat
10,AFG,afghanistan,10,velayat,var,ghourvelayat
10,AFG,afghanistan,10,velayat,var,ghour-velayat
10,AFG,afghanistan,10,velayat,var,ghour velayat
10,AFG,afghanistan,10,velayat,var,ghurvelayat
10,AFG,afghanistan,10,velayat,var,ghur-velayat
10,AFG,afghanistan,10,velayat,var,ghur velayat
11,AFG,afghanistan,11,velayat,original,hilmand
11,AFG,afghanistan,11,velayat,var,girishk
11,AFG,afghanistan,11,velayat,var,hilmend
11,AFG,afghanistan,11,velayat,var,hilmandvelayat
11,AFG,afghanistan,11,velayat,var,hilmand-velayat
11,AFG,afghanistan,11,velayat,var,hilmand velayat
11,AFG,afghanistan,11,velayat,var,girishkvelayat
11,AFG,afghanistan,11,velayat,var,girishk-velayat
11,AFG,afghanistan,11,velayat,var,girishk velayat
11,AFG,afghanistan,11,velayat,var,hilmendvelayat
11,AFG,afghanistan,11,velayat,var,hilmend-velayat
11,AFG,afghanistan,11,velayat,var,hilmend velayat
12,AFG,afghanistan,12,velayat,original,hirat
12,AFG,afghanistan,12,velayat,var,hiratvelayat
12,AFG,afghanistan,12,velayat,var,hirat-velayat
12,AFG,afghanistan,12,velayat,var,hirat velayat
13,AFG,afghanistan,13,velayat,original,jawzjan
13,AFG,afghanistan,13,velayat,var,jaozjan
13,AFG,afghanistan,13,velayat,var,jozjan
13,AFG,afghanistan,13,velayat,var,juzjan
13,AFG,afghanistan,13,velayat,var,jouzjan
13,AFG,afghanistan,13,velayat,var,shibarghan
13,AFG,afghanistan,13,velayat,var,jawzjanvelayat
13,AFG,afghanistan,13,velayat,var,jawzjan-velayat
13,AFG,afghanistan,13,velayat,var,jawzjan velayat
13,AFG,afghanistan,13,velayat,var,jaozjanvelayat
13,AFG,afghanistan,13,velayat,var,jaozjan-velayat
13,AFG,afghanistan,13,velayat,var,jaozjan velayat
13,AFG,afghanistan,13,velayat,var,jozjanvelayat
13,AFG,afghanistan,13,velayat,var,jozjan-velayat
13,AFG,afghanistan,13,velayat,var,jozjan velayat
13,AFG,afghanistan,13,velayat,var,juzjanvelayat
13,AFG,afghanistan,13,velayat,var,juzjan-velayat
13,AFG,afghanistan,13,velayat,var,juzjan velayat
13,AFG,afghanistan,13,velayat,var,jouzjanvelayat
13,AFG,afghanistan,13,velayat,var,jouzjan-velayat
13,AFG,afghanistan,13,velayat,var,jouzjan velayat
13,AFG,afghanistan,13,velayat,var,shibarghanvelayat
13,AFG,afghanistan,13,velayat,var,shibarghan-velayat
13,AFG,afghanistan,13,velayat,var,shibarghan velayat
14,AFG,afghanistan,14,velayat,original,kabul
14,AFG,afghanistan,14,velayat,var,cabul
14,AFG,afghanistan,14,velayat,var,kabol
14,AFG,afghanistan,14,velayat,var,kaboul
14,AFG,afghanistan,14,velayat,var,kabulvelayat
14,AFG,afghanistan,14,velayat,var,kabul-velayat
14,AFG,afghanistan,14,velayat,var,kabul velayat
14,AFG,afghanistan,14,velayat,var,cabulvelayat
14,AFG,afghanistan,14,velayat,var,cabul-velayat
14,AFG,afghanistan,14,velayat,var,cabul velayat
14,AFG,afghanistan,14,velayat,var,kabolvelayat
14,AFG,afghanistan,14,velayat,var,kabol-velayat
14,AFG,afghanistan,14,velayat,var,kabol velayat
14,AFG,afghanistan,14,velayat,var,kaboulvelayat
14,AFG,afghanistan,14,velayat,var,kaboul-velayat
14,AFG,afghanistan,14,velayat,var,kaboul velayat
15,AFG,afghanistan,15,velayat,original,kandahar
15,AFG,afghanistan,15,velayat,var,qandahar
15,AFG,afghanistan,15,velayat,var,kandaharvelayat
15,AFG,afghanistan,15,velayat,var,kandahar-velayat
15,AFG,afghanistan,15,velayat,var,kandahar velayat
15,AFG,afghanistan,15,velayat,var,qandaharvelayat
15,AFG,afghanistan,15,velayat,var,qandahar-velayat
15,AFG,afghanistan,15,velayat,var,qandahar velayat
16,AFG,afghanistan,16,velayat,original,kapisa
16,AFG,afghanistan,16,velayat,var,kapesa
16,AFG,afghanistan,16,velayat,var,kapisavelayat
16,AFG,afghanistan,16,velayat,var,kapisa-velayat
16,AFG,afghanistan,16,velayat,var,kapisa velayat
16,AFG,afghanistan,16,velayat,var,kapesavelayat
16,AFG,afghanistan,16,velayat,var,kapesa-velayat
16,AFG,afghanistan,16,velayat,var,kapesa velayat
17,AFG,afghanistan,17,velayat,original,khost
17,AFG,afghanistan,17,velayat,var,khostvelayat
