ISOALPHA,COUNTRYNM,original_gpw_name,updated_gpw_name,notes
AFG,afghanistan,maydan wardak,wardak,
AFG,afghanistan,panjsher,panjshir,
ALB,albania,tirane [tirana],tirane,
AND,andorra,andorra,andorra la vella,
AND,andorra,escaldes,escaldes-engordany,
AND,andorra,sant julia,sant julia de loria,
ARE,united arab emirates,al sharjah,sharjah,
ARE,united arab emirates,ras al khayma,ras al-khaimah,
ARE,united arab emirates,umm al quwain,umm al-qaywayn,
ARG,argentina,ciudad autonoma de buenos aires,ciudad de buenos aires,
ARM,armenia,lory,lori,
ATG,antigua and barbuda,"saint john
city",saint john,
ATG,antigua and barbuda,"saint john
rural",saint john,
AUS,australia,other territories,NaN,
AZE,azerbaijan,aghdam,yukhari-karabakh,
AZE,azerbaijan,aghdash,aran,
AZE,azerbaijan,aghjabadi,aran,
AZE,azerbaijan,aghstafa,ganja-qazakh,
AZE,azerbaijan,aghsu,daglig-shirvan,
AZE,azerbaijan,astara,lankaran,
AZE,azerbaijan,babek,,
AZE,azerbaijan,balaken,shaki-zaqatala,
AZE,azerbaijan,barda,aran,
AZE,azerbaijan,beilagan,aran,
AZE,azerbaijan,bilasuvar,aran,
AZE,azerbaijan,binagadi,,
AZE,azerbaijan,dashkesen,ganja-qazakh,
AZE,azerbaijan,fuzuli,yukhari-karabakh,
AZE,azerbaijan,gabala,shaki-zaqatala,
AZE,azerbaijan,gadabay,ganja-qazakh,
AZE,azerbaijan,gakh,shaki-zaqatala,
AZE,azerbaijan,ganja city,ganja-qazakh,
AZE,azerbaijan,garadagh,,
AZE,azerbaijan,gazakh,ganja-qazakh,
AZE,azerbaijan,gobustan,daglig-shirvan,
AZE,azerbaijan,goranboy,ganja-qazakh,
AZE,azerbaijan,goychay,aran,
AZE,azerbaijan,goygol,ganja-qazakh,
AZE,azerbaijan,guba,quba-khachmaz,
AZE,azerbaijan,gubadly,kalbajar-lachin,
AZE,azerbaijan,gusar,quba-khachmaz,
AZE,azerbaijan,hajigabul,aran,
AZE,azerbaijan,imishly,aran,
AZE,azerbaijan,ismailly,daglig-shirvan,
AZE,azerbaijan,jabrail,yukhari-karabakh,
AZE,azerbaijan,jalilabad,lankaran,
AZE,azerbaijan,julfa,,
AZE,azerbaijan,kalbajar,kalbajar-lachin,
AZE,azerbaijan,kangarly,,
AZE,azerbaijan,khachmaz,quba-khachmaz,
AZE,azerbaijan,khankandy city,yukhari-karabakh,
AZE,azerbaijan,khatai,,
AZE,azerbaijan,khazar,,
AZE,azerbaijan,khojaly,yukhari-karabakh,
AZE,azerbaijan,khojavand,yukhari-karabakh,
AZE,azerbaijan,khyzy,,
AZE,azerbaijan,kurdamir,aran,
AZE,azerbaijan,lachin,kalbajar-lachin,
AZE,azerbaijan,lenkaran,lankaran,
AZE,azerbaijan,lerik,lankaran,
AZE,azerbaijan,masally,lankaran,
AZE,azerbaijan,mingachevir city,aran,
AZE,azerbaijan,naftalan city,ganja-qazakh,
AZE,azerbaijan,nakhchivan city,,
AZE,azerbaijan,narimanov,,
AZE,azerbaijan,nasimi,,
AZE,azerbaijan,neftchala,aran,
AZE,azerbaijan,nizami,,
AZE,azerbaijan,oghuz,shaki-zaqatala,
AZE,azerbaijan,ordubad,,
AZE,azerbaijan,saatly,aran,
AZE,azerbaijan,sabail,,
AZE,azerbaijan,sabirabad,aran,
AZE,azerbaijan,sabunchy,,
AZE,azerbaijan,sadarak,,
AZE,azerbaijan,salyan,aran,
AZE,azerbaijan,samukh,ganja-qazakh,
AZE,azerbaijan,shabran,quba-khachmaz,
AZE,azerbaijan,shahbuz,,
AZE,azerbaijan,shamakhy,daglig-shirvan,
AZE,azerbaijan,shamkir,ganja-qazakh,
AZE,azerbaijan,sharur,,
AZE,azerbaijan,sheki,shaki-zaqatala,
AZE,azerbaijan,shirvan city,aran,
AZE,azerbaijan,shusha,yukhari-karabakh,
AZE,azerbaijan,siazan,quba-khachmaz,
AZE,azerbaijan,sumgait city,,
AZE,azerbaijan,surakhany,,
AZE,azerbaijan,terter,yukhari-karabakh,
AZE,azerbaijan,tovuz,ganja-qazakh,
AZE,azerbaijan,ujar,aran,
AZE,azerbaijan,yardimly,lankaran,
AZE,azerbaijan,yasamal,,
AZE,azerbaijan,yevlakh,aran,
AZE,azerbaijan,zagatala,shaki-zaqatala,
AZE,azerbaijan,zangilan,kalbajar-lachin,
AZE,azerbaijan,zardab,aran,
BDI,burundi,bujumbara rural,bujumbura rural,
BDI,burundi,canzuko,cankuzo,
BDI,burundi,mairie de bujumbura,bujumbura mairie,
BDI,burundi,ruyiga,ruyigi,
BEL,belgium,brussels hoofdstedelijk gewest,bruxelles,
BEL,belgium,vlaams gewest,valaanderen,
BEL,belgium,waals gewest,wallonie,
BEN,benin,atacora,atakora,
BFA,burkina faso,hauts-bassins,haut-bassins,
BGR,bulgaria,sofia (capital),grad sofiya,
BHR,bahrain,central,,
BHS,bahamas,abaco,central abaco,
BHS,bahamas,andros,central andros,
BHS,bahamas,eleuthera,central eleuthera,
BHS,bahamas,exuma and cays,exuma,
BHS,bahamas,grand bahama,east grand bahama,
BHS,bahamas,mayaguanna,mayaguana,
BHS,bahamas,rum city,rum cay,
BIH,bosnia and herzegovina,distrikt brcko,brcko,
BIH,bosnia and herzegovina,federacija bosne i hercegovine,federacija bosna i hercegovina,
BIH,bosnia and herzegovina,republika srpska,repuplika srpska,
BOL,bolivia (plurinational state of),beni,el beni,
BRN,brunei darussalam,brunei muara,brunei and muara,
BTN,bhutan,trashiyangtse,trashi yangtse,
BWA,botswana,gemsbok/transfrontier park,,
BWA,botswana,orapa,,
BWA,botswana,selebi pikwe,selibe phikwe,
BWA,botswana,sowa_town,sowa,
CAN,canada,british columbia -colombie-britannique,british columbia,
CAN,canada,new brunswick -nouveau-brunswick,new brunswick,
CAN,canada,newfoundland and labrador -terre-neuve-et-labrador,newfoundland and labrador,
CAN,canada,northwest territories -territoires du nord-ouest,northwest territories,
CAN,canada,nova scotia -nouvelle-ecosse,nova scotia,
CAN,canada,prince edward island -ile-du-prince-edouard,prince edward island,
CAN,canada,quebec -quebec,quebec,
CHE,switzerland,bern -berne,bern,
CHE,switzerland,fribourg -freiburg,fribourg,
CHE,switzerland,graubunden -grigioni -grischun,graubunden,
CHE,switzerland,saint gallen,sankt gallen,
CHE,switzerland,valais -wallis,valais,
CHL,chile,magallanes and antartica chilena,magallanes y antartica chilena,
CHL,chile,santiago metropolitan region (rm),santiago metropolitan,
CHN,china,beijingshi,beijing,
CHN,china,chongqingshi,chongqing,
CHN,china,guangxizhuangzuzizhiqu,guangxi,
CHN,china,neimengguzizhiqu,nei mongol,
CHN,china,ningxiahuizuzizhiqu,ningxia hui,
CHN,china,shanghaishi,shanghai,
CHN,china,xinjiangweiwuerzizhiqu,xinjiang uygur,
CHN,china,xizangzizhiqu,xizang,
CIV,cote d'ivoire,la vallee du bandama,vallee du bandama,
COD,democratic republic of the congo,bandundu,,
COD,democratic republic of the congo,bas-congo,,
COD,democratic republic of the congo,kasai occidental,,
COD,democratic republic of the congo,katanga,,
COD,democratic republic of the congo,orientale,,
COG,congo,cuvette - ouest,cuvette-ouest,
COG,congo,pointe-noire,pointe noire,
COL,colombia,archipielago de san andres,san andres y providencia,
COL,colombia,"bogota, d.c.",bogota d.c.,
CPV,cape verde,fogo,,
CPV,cape verde,santa antao,,
CPV,cape verde,santiago,,
CPV,cape verde,sao nicolau,,
CUB,cuba,artemisa,,
CYP,cyprus,lemesos,limassol,
CYP,cyprus,occupied area,,
DJI,djibouti,djibouti ville,djiboutii,
DJI,djibouti,tadjourah,tadjoura,
DNK,denmark,sjlland,sjaelland,
DOM,dominican republic,cibao nordeste,,
DOM,dominican republic,cibao noroeste,,
DOM,dominican republic,cibao norte,,
DOM,dominican republic,cibao sur,,
DOM,dominican republic,el valle,,
DOM,dominican republic,enriquillo,,
DOM,dominican republic,higuamo,,
DOM,dominican republic,ozama,,
DOM,dominican republic,valdesia,,
DOM,dominican republic,yuma,,
DZA,algeria,aindefla,ain defla,
DZA,algeria,aintemouchent,ain temouchent,
DZA,algeria,bordjbouarreridj,bordj bou arreridj,
DZA,algeria,bourmerdes,boumerdes,
DZA,algeria,elbayadh,el bayadh,
DZA,algeria,eloued,el oued,
DZA,algeria,eltarf,el tarf,
DZA,algeria,oumelbouaghi,oum el bouaghi,
DZA,algeria,sidibelabbes,sidi bel abbes,
DZA,algeria,soukahras,souk ahras,
DZA,algeria,tiziouzou,tizi ouzou,
ECU,ecuador,zona no delimitado,,
EGY,egypt,6 October,,
EGY,egypt,dakhlia,ad daqahliyah,
EGY,egypt,el wadi el gidid,al wadi al jadid,
EGY,egypt,helwan,,
EGY,egypt,ismalia,al isma`iliyah,
EGY,egypt,kafr el shiekh,kafr ash shaykh,
EGY,egypt,kaliobia,al qalyubiyah,
EGY,egypt,monoufia,al minufiyah,
ERI,eritrea,g/barka,gash barka,
ERI,eritrea,nrs,semenawi keyih bahri,
ERI,eritrea,srs,debubawi keyih bahri,
ESP,spain,"asturias, principado de",principado de asturias,
ESP,spain,"balears, illes",islas baleares,
ESP,spain,ceuta,ceuta y melilla,
ESP,spain,"madrid, comunidad de",comunidad de madrid,
ESP,spain,melilla,ceuta y melilla,
ESP,spain,"murcia, region de",region de murcia,
ESP,spain,"navarra, comunidad foral de",comunidad foral de navarra,
ESP,spain,"rioja, la",la rioja,
ETH,ethiopia,addis ababa city,addis abeba,
ETH,ethiopia,affar,afar,
ETH,ethiopia,benishangul-gumuz,benshangul-gumaz,
ETH,ethiopia,dire dawa city,dire dawa,
ETH,ethiopia,gambella,gambela peoples,
ETH,ethiopia,harari,harari people,
ETH,ethiopia,s.n.n.p,"southern nations, nationalities and peoples",
FIN,finland,central finland,western finland,
FIN,finland,central ostrobothnia,western finland,
