Country,Last endemic spread,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,Population in 1970 (from data world bank),Source,Notes
Afghanistan,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,612,1299,2179,1813,1767,1411,1002,226,306,442,109,178,288,577,178,72,66,334,739,250,1044,736,236,25,0,0,0,0,0,0,0,11173654,"RB p524, 674, 347",WHO document is: https://biotech.law.lsu.edu/blaw/bt/smallpox/smallpox-a41438.pdf
Bangladesh,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21273,38871,10490,1102,445,1926,4962,24920,79060,15048,1905,660,610,3735,69,316,3207,6648,9039,1925,1473,0,10754,32711,16485,13798,0,0,0,0,0,64232486,"RB p526, 812, 347",
Botswana,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,36,1059,27,0,0,0,0,0,0,0,627714,"RB p1197, 1198",
Brazil,1971,,,,,13,746,4146,107,2,0,2,1,95,112,0,17,23,121,93,86,123,126,79,444,1234,862,1288,670,749,1190,1668,923,1035,2580,4718,2661,2190,,,4840,6561,8526,9763,6467,3168,3417,3623,4514,4372,7407,1771,19,0,0,0,0,0,0,0,0,0,95113265,"RB  p595, 594, 334",
Burundi,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213,363,74,301,108,197,0,0,0,0,0,0,0,0,0,0,3479070,"RB p1133, 947",
Dem. Rep. Congo,1971,507,1497,1040,1956,2371,781,9140,2980,1337,1343,1497,1241,2270,3417,3253,2574,2873,3792,3269,6495,6394,4614,2658,4257,2148,6350,4122,2756,2950,2218,4591,2524,2832,4699,5214,6217,4663,1950,1181,3035,1408,3624,3775,5523,3262,3783,1913,1479,3800,2072,716,63,0,0,0,0,0,0,0,0,0,20011033,"RB p524, 914",
Ethiopia,1976,,,,,,,,,,,,41,36,7,4,27,276,459,31,201,164,0,1,7,11,13,4,65,43,15,62,44,80,178,834,2662,2832,1408,1604,990,1518,2586,551,733,300,124,358,466,426,197,722,26329,16999,5414,4439,3935,915,0,0,0,0,28415080,"RB p524, 1016, 357, WHO 86",includes Eritrea
India,1975,,,,,,175490,220221,222615,165458,148827,232331,89249,115967,252748,263276,282346,218323,105209,89341,133616,188192,143515,76882,136826,328466,289074,146431,69039,73422,74930,157487,253332,74836,37311,46619,41837,45109,78666,168216,47693,31091,45380,55595,83423,40265,33402,32616,84902,35179,19281,12773,16190,27407,88114,188003,1436,0,0,0,0,0,555189797,"RB p524, 721, 347",
Indonesia,1972,2400,1445,1236,4922,6717,4681,855,766,298,614,419,176,562,57,9,43,80,1,12,2,6,,,,,,,,1701,13413,99016,100952,9802,2584,1875,1530,2817,1550,3202,1129,5196,5045,3435,17431,17213,56359,35283,13478,17350,17972,10081,2100,34,0,0,0,0,0,0,0,0,114793179,"RB p524, 635, 336",
Iran,1972,,,,,,,,,,446,191,552,1745,765,203,91,84,34,25,278,316,,384,1150,1341,266,114,849,1182,509,439,295,237,142,98,2500,1900,1100,540,253,341,96,16,6,,,,,,,,29,2,,,,,,,,,28513872,"RB p1197, 1087, 350",Henderon visit in 1972 suspected 6-8000 cases
