ISOALPHA,COUNTRYNM,original_gpw_name,updated_gpw_name,notes
COD,democratic republic of the congo,bandundu,kwango,
COD,democratic republic of the congo,bandundu,kwilu,
COD,democratic republic of the congo,bandundu,mai-ndombe,
COD,democratic republic of the congo,bas-congo,kongo-central,
COD,democratic republic of the congo,equateur,equateur,
COD,democratic republic of the congo,equateur,tshuapa,
COD,democratic republic of the congo,equateur,mongala,
COD,democratic republic of the congo,equateur,nord-ubangi,
COD,democratic republic of the congo,equateur,sud-ubangi,
COD,democratic republic of the congo,kasai occidental,kasai,
COD,democratic republic of the congo,kasai occidental,kasai-central,
COD,democratic republic of the congo,kasai oriental,kasai-oriental,
COD,democratic republic of the congo,kasai oriental,lomami,
COD,democratic republic of the congo,kasai oriental,sankuru,
COD,democratic republic of the congo,katanga,haut-lomami,
COD,democratic republic of the congo,katanga,tanganyika,
COD,democratic republic of the congo,katanga,lualaba,
COD,democratic republic of the congo,katanga,haut-katanga,
COD,democratic republic of the congo,kinshasa,kinshasa,
COD,democratic republic of the congo,maniema,maniema,
COD,democratic republic of the congo,nord-kivu,nord-kivu,
COD,democratic republic of the congo,orientale,haut-uele,
COD,democratic republic of the congo,orientale,ituri,
COD,democratic republic of the congo,orientale,bas-uele,
COD,democratic republic of the congo,orientale,tshopo,
COD,democratic republic of the congo,sud-kivu,sud-kivu,
CPV,cape verde,fogo,mosteiros,
CPV,cape verde,fogo,santa catarina do fogo,
CPV,cape verde,fogo,sao filipe,
CPV,cape verde,santa antao,paul,
CPV,cape verde,santa antao,porto novo,
CPV,cape verde,santa antao,ribeira grande,
CPV,cape verde,santiago,praia,
CPV,cape verde,santiago,ribeira grande de santiago,
CPV,cape verde,santiago,santa catarina,
CPV,cape verde,santiago,santa cruz,
CPV,cape verde,santiago,sao domingos,
CPV,cape verde,santiago,sao lourenco dos orgaos,
CPV,cape verde,santiago,sao miguel,
CPV,cape verde,santiago,sao salvador do mundo,
CPV,cape verde,santiago,tarrafal,
CPV,cape verde,sao nicolau,tarrafal de sao nicolau,
CPV,cape verde,sao nicolau,ribeira brava,
DOM,dominican republic,cibao nordeste,duarte,
DOM,dominican republic,cibao nordeste,maria trinidad sanchez,
DOM,dominican republic,cibao nordeste,samana,
DOM,dominican republic,cibao nordeste,salcedo,
DOM,dominican republic,cibao noroeste,monte cristi,
DOM,dominican republic,cibao noroeste,dajabon,
DOM,dominican republic,cibao noroeste,santiago rodriguez,
DOM,dominican republic,cibao noroeste,valverde,
DOM,dominican republic,cibao norte,espaillat,
DOM,dominican republic,cibao norte,puerto plata,
DOM,dominican republic,cibao norte,santiago,
DOM,dominican republic,cibao sur,monsenor nouel,
DOM,dominican republic,cibao sur,la vega,
DOM,dominican republic,cibao sur,sanchez ramirez,
DOM,dominican republic,el valle,san juan,
DOM,dominican republic,el valle,la estrelleta,
DOM,dominican republic,enriquillo,bahoruco,
DOM,dominican republic,enriquillo,barahona,
DOM,dominican republic,enriquillo,independencia,
DOM,dominican republic,enriquillo,pedernales,
DOM,dominican republic,higuamo,hato mayor,
DOM,dominican republic,higuamo,monte plata,
DOM,dominican republic,higuamo,san pedro de macoris,
DOM,dominican republic,ozama,santo domingo,
DOM,dominican republic,ozama,distrito nacional,
DOM,dominican republic,valdesia,azua,
DOM,dominican republic,valdesia,peravia,
DOM,dominican republic,valdesia,san cristobal,
DOM,dominican republic,valdesia,san jose de ocoa,
DOM,dominican republic,yuma,el seybo,
DOM,dominican republic,yuma,la altagracia,
DOM,dominican republic,yuma,la romana,
HRV,croatia,zagreb,zagreb,
HRV,croatia,zagreb,grad zagreb,
HUN,hungary,central hungary,budapest,
HUN,hungary,central hungary,pest,
HUN,hungary,central transdanubia,fejer,
HUN,hungary,central transdanubia,komarom-esztergom,
HUN,hungary,central transdanubia,veszprem,
HUN,hungary,northern great plain,szabolcs-szatmar-bereg,
HUN,hungary,northern great plain,hajdu-bihar,
HUN,hungary,northern great plain,jasz-nagykun-szolnok,
HUN,hungary,northern hungary,borsod-abauj-zemplen,
HUN,hungary,northern hungary,heves,
HUN,hungary,northern hungary,nograd,
HUN,hungary,southern great plain,bacs-kiskun,
HUN,hungary,southern great plain,bekes,
HUN,hungary,southern great plain,csongrad,
HUN,hungary,southern transdanubia,baranya,
HUN,hungary,southern transdanubia,somogy,
HUN,hungary,southern transdanubia,tolna,
HUN,hungary,western transdanubia,gyor-moson-sopron,
HUN,hungary,western transdanubia,vas,
HUN,hungary,western transdanubia,zala,
IDN,indonesia,java,jawa barat,
IDN,indonesia,java,jawa tengah,
IDN,indonesia,java,jawa timur,
IDN,indonesia,java,yogyakarta,
IDN,indonesia,java,banten,
IDN,indonesia,java,jakarta raya,
IDN,indonesia,kalimantan,kalimantan barat,
IDN,indonesia,kalimantan,kalimantan selatan,
IDN,indonesia,kalimantan,kalimantan tengah,
IDN,indonesia,kalimantan,kalimantan timur,
IDN,indonesia,kalimantan,kalimantan utara,
IDN,indonesia,lesser sunda islands,nusa tenggara timur,
IDN,indonesia,lesser sunda islands,nusa tenggara barat,
IDN,indonesia,lesser sunda islands,bali,
IDN,indonesia,lesser sunda islands,maluku utara,
IDN,indonesia,sulawesi,sulawesi barat,
IDN,indonesia,sulawesi,sulawesi selatan,
IDN,indonesia,sulawesi,sulawesi tengah,
IDN,indonesia,sulawesi,sulawesi tenggara,
IDN,indonesia,sulawesi,sulawesi utara,
IDN,indonesia,sulawesi,gorontalo,
