Country,Year,Population,Total examined,Total pockmarks,Total percentage,Preschool examined,Preschool with pockmarks,Preschool percentage,School age examined,School age with pockmarks,School age percentage,Adults examined,Adults with pockmarks,Adult percentage,Source,Notes,UN_region
Afghanistan,1969,,,,,1123.00,3.00,0.27,1617.00,23.00,1.42,2259.00,81.00,3.59,RB 668,"considering 0-4 as preschool, 5-14 as school-aged, and over 15 as adults; broken down by whether vaccination campaign had been conducted, aggregating these together",Southern Asia
Angola,1978,,,,,81572.00,1.00,0.00,444401.00,177.00,0.04,218454.00,1807.00,0.83,RB 1211,,Central Africa
Bahrain,1978,270000,,,,25623.00,1.00,0.00,,,,,,,RB 1220,children < 10,Western Asia
Bangladesh,1976,,465892,4306,0.92,,,,,,,,,,RB 1191,"has attack date, target population was 0-19 years, sample was 1% random cluster",Southern Asia
Bangladesh,1977,80000000,465892,,1.10,,,,,,,,,,https://apps.who.int/iris/bitstream/handle/10665/261779/PMC2395660.pdf?sequence=1,,Southern Asia
"Bangladesh, Areas visited by International Commission",1977,,50000,,1.20,,,,,,,,,,https://apps.who.int/iris/bitstream/handle/10665/261779/PMC2395660.pdf?sequence=1,,Southern Asia
Benin,1975-76,,188722,,,12881.00,0.00,0.00,175841.00,208.00,0.12,0.00,,,RB 1165,"preschool, primary school, over primary school age",West Africa
Bhutan,1976,,16699,11,0.07,,,,,,,,,,RB 802,all children under 15 in Southern Bhutan,Southern Asia
Botswana,1978-79,840000,166573,,,16654.00,0.00,0.00,111899.00,6.00,0.01,38020.00,99.00,0.26,RB 1203,,Southern Africa
Botswana,1979,,30230,,,1766.00,0.00,0.00,23978.00,62.00,0.26,4486.00,22.00,0.49,RB 1204,,Southern Africa
Burkina Faso,1975-76,,117522,,,24014.00,0.00,0.00,74256.00,13.00,0.02,19252.00,46.00,0.24,RB 1165,"preschool, primary school, over primary school age",West Africa
Burma,1977,31420000,,,,,,,1924095.00,,0.00,,,,https://apps.who.int/iris/bitstream/handle/10665/261779/PMC2395660.pdf?sequence=1,survey among schoolchildren under 14,Southeast Asia
"Burma, Arakan",1975,,3000,,1.00,,,,,,,,,,https://apps.who.int/iris/bitstream/handle/10665/261779/PMC2395660.pdf?sequence=1,,Southeast Asia
"Burma, Areas visited by International Commission",1977,,58000,,0.70,,,,,,,,,,https://apps.who.int/iris/bitstream/handle/10665/261779/PMC2395660.pdf?sequence=1,,Southeast Asia
Burundi,1976-77,3900000,77574,,,6000.00,0.00,0.00,71574.00,18.00,0.03,0.00,,,RB 1169,,East Africa
Cameroon,1976-77,7900000,326819,,,14428.00,0.00,0.00,312391.00,6.00,0.00,0.00,,,RB 1169,,Central Africa
Central African Republic,1976-77,2100000,119277,,,17920.00,0.00,0.00,101357.00,0.00,0.00,0.00,,,RB 1169,,Central Africa
