PUMA,ST,pop_size,perc_born_before_1980,perc_born_before_cessation,perc_foreign_born,overall_cvg,perc_susceptible
100,1,186345,48.37425205935227,0.4115806702621482,3.028254044916687,0.9215617553635274,69.40314076168485
100,4,168529,36.46494075203674,0.2625601528520314,9.403722801416967,0.9280395808841104,80.4796259484347
100,5,279166,39.12869045657422,0.31892494071627636,13.728390993172521,0.93310076708866585,76.22402748834696
100,8,111262,44.18130179216624,0.3844888641225216,9.293379590516079,0.9365751570940946,70.9857884720856
100,9,168980,51.35104746123802,0.4546751094804119,25.79003432358859,0.9281015342022089,65.91923155079054
100,13,154180,46.71812167596316,0.3907640420287975,3.1125956674017385,0.9656575117621947,69.73717229224926
100,15,240133,49.35514902158387,0.4249061978153773,22.04569967476357,0.9343311543386125,68.33205345128263
100,16,126843,48.02708860559905,0.4150248732685288,4.2974385657860505,0.9192086989251904,69.06311971430732
100,19,116975,45.23445180594144,0.40194913443043384,3.777730284248771,0.9764113059995898,68.315845535901
100,20,106846,45.7911386481478,0.3987233962899875,4.600078617823784,0.9113283432731655,70.61569354678674
100,21,195436,47.746576884504385,0.4022697967621114,2.3066374669968686,0.9623691884023557,68.97766261265568
100,22,118091,44.163399412317624,0.36913058573473,2.1161646526831,0.9167101322109695,72.70344558308246
100,23,98577,54.98442841636487,0.4819278330645079,5.561134950343386,0.9786249525034486,62.16600384055517
100,24,99787,50.65589706073938,0.4265084630262459,2.4712637918766975,0.9637854280869769,66.97914969184448
100,25,124680,55.23820981713185,0.47759865255052936,6.839108116778954,0.9658982749655115,62.92981445257695
100,26,169145,49.394897868692546,0.4291938869017707,2.8153359543586864,0.8377334644674785,70.73063752017235
100,27,148679,42.94285003262061,0.3653710342415539,5.810504509715562,0.962701956233864,71.69013327519873
100,28,184919,41.299704194809614,0.3176309627458509,4.179127077260855,0.9499975811691076,75.73269964406033
100,29,111814,46.329618831273365,0.39238378020641423,2.0954442198651333,0.9627058968193798,69.50974495839463
100,30,137110,49.18240828531836,0.4179855590401867,3.362263875720225,0.9091752610957408,69.06612080277571
100,31,105913,48.055479497323276,0.42199729967048427,2.7598122987735216,0.9450637218001686,67.95476087038006
100,33,121458,51.79321246850763,0.44234220882938957,5.735315911673171,0.9719134236466924,65.43897640451262
100,35,130898,39.52772387660622,0.32546715763418843,1.162737398585158,0.9292712809415707,75.59044546879515
100,36,108024,46.75442494260535,0.39070947196919203,3.5954972968969856,0.9578496666974748,69.74784849937517
100,37,133681,47.41212288956545,0.40651251860773036,2.8807384744279294,0.976766222659913,68.08296530349973
