ISOALPHA,COUNTRYNM,NAME1,perc_susceptible
ABW,aruba,noord-tanki leendert,NA
ABW,aruba,oranjestad east,NA
ABW,aruba,oranjestad west,NA
ABW,aruba,paradera,NA
ABW,aruba,san nicolas north,NA
ABW,aruba,san nicolas south,NA
ABW,aruba,santa cruz,NA
ABW,aruba,savaneta,NA
AFG,afghanistan,badakhshan,90.56987408943972
AFG,afghanistan,badghis,90.57106048283228
AFG,afghanistan,baghlan,90.57184134233832
AFG,afghanistan,balkh,90.57107297681553
AFG,afghanistan,bamyan,90.56863635682313
AFG,afghanistan,daykundi,90.5727790892221
AFG,afghanistan,farah,90.57231219692736
AFG,afghanistan,faryab,90.57040782341306
AFG,afghanistan,ghazni,90.57083840243584
AFG,afghanistan,ghor,90.57079149946345
AFG,afghanistan,hilmand,90.57242315736943
AFG,afghanistan,hirat,90.56799040194096
AFG,afghanistan,jawzjan,90.56982413176563
AFG,afghanistan,kabul,90.57416189130183
AFG,afghanistan,kandahar,90.57195307820078
AFG,afghanistan,kapisa,90.56714771090874
AFG,afghanistan,khost,90.57142149712783
AFG,afghanistan,kunar,90.57173999797085
AFG,afghanistan,kunduz,90.56974573337541
AFG,afghanistan,laghman,90.57201466742228
AFG,afghanistan,logar,90.56991783036803
AFG,afghanistan,nangarhar,90.57130927572939
AFG,afghanistan,nimroz,90.57277144289387
AFG,afghanistan,nuristan,90.57163288757702
AFG,afghanistan,paktika,90.57247121761857
AFG,afghanistan,paktya,90.5712306984809
AFG,afghanistan,panjshir,90.57273259598595
AFG,afghanistan,parwan,90.56780180667252
AFG,afghanistan,samangan,90.57183588869206
AFG,afghanistan,sari pul,90.57162859753312
AFG,afghanistan,takhar,90.57025997901303
AFG,afghanistan,uruzgan,90.57374642621778
AFG,afghanistan,wardak,90.57051812771988
AFG,afghanistan,zabul,90.57250324115648
AGO,angola,bengo,87.99833769609923
AGO,angola,benguela,87.98026973809856
AGO,angola,bie,87.98275424229396
AGO,angola,cabinda,87.99299469780311
AGO,angola,cuando cubango,87.9907105210439
AGO,angola,cuanza norte,87.99301338656987
AGO,angola,cuanza sul,87.9875565307416
AGO,angola,cunene,87.9767557810067
AGO,angola,huambo,87.98207261133942
AGO,angola,huila,85.44759450428114
AGO,angola,luanda,87.9928566211054
AGO,angola,lunda norte,88.01040276912406
AGO,angola,lunda sul,87.99468318462594
AGO,angola,malanje,87.99146311746514
AGO,angola,moxico,87.99074877613876
AGO,angola,namibe,87.98811384988909
AGO,angola,uige,87.99344394201026
AGO,angola,zaire,87.99827158035433
ALA,aland islands,brando,NA
ALA,aland islands,eckero,NA
ALA,aland islands,finstrom,NA
ALA,aland islands,foglo,NA
ALA,aland islands,geta,NA
ALA,aland islands,hammarland,NA
ALA,aland islands,jomala,NA
ALA,aland islands,kokar,NA
ALA,aland islands,kumlinge,NA
ALA,aland islands,lemland,NA
ALA,aland islands,lumparland,NA
ALA,aland islands,mariehamn,NA
ALA,aland islands,saltvik,NA
ALA,aland islands,sottunga,NA
ALA,aland islands,sund,NA
ALA,aland islands,vardo,NA
ALB,albania,berat,64.29027669863568
ALB,albania,diber,71.83334353100746
ALB,albania,durres,68.16364082794037
ALB,albania,elbasan,68.68712645511208
ALB,albania,fier,64.77236368040025
ALB,albania,gjirokaster,61.04384634701119
ALB,albania,korce,63.89805923737305
ALB,albania,kukes,74.83942243266053
ALB,albania,lezhe,68.11853823467793
ALB,albania,shkoder,66.83159208694364
ALB,albania,tirane,69.10288893554481
ALB,albania,vlore,63.95663036232296
AND,andorra,andorra la vella,64.9171627562361
AND,andorra,canillo,60.251878700707174
AND,andorra,encamp,69.48941741540011
AND,andorra,escaldes-engordany,63.97708047191407
AND,andorra,la massana,68.4978648057494
AND,andorra,ordino,71.83577165048544
AND,andorra,sant julia de loria,66.88188648145686
ARE,united arab emirates,abu dhabi,90.19246941529428
ARE,united arab emirates,ajman,90.28247878864045
ARE,united arab emirates,dubai,89.89661501828559
ARE,united arab emirates,fujairah,90.32013300075721
ARE,united arab emirates,ras al-khaimah,90.35058675842733
ARE,united arab emirates,sharjah,90.21537199618628
ARE,united arab emirates,umm al-qaywayn,90.36692462496775
ARG,argentina,buenos aires,77.01631162626515
ARG,argentina,catamarca,80.683656042056
ARG,argentina,chaco,81.52817258965656
ARG,argentina,chubut,79.94220698154024
ARG,argentina,ciudad de buenos aires,71.32790469730504
ARG,argentina,cordoba,79.80589352800226
ARG,argentina,corrientes,80.24801457231891
ARG,argentina,entre rios,77.54593835412376
ARG,argentina,formosa,81.42527016800034
ARG,argentina,jujuy,81.39995515679172
ARG,argentina,la pampa,76.13516577687491
ARG,argentina,la rioja,74.84414253817243
ARG,argentina,mendoza,77.83480933544028
ARG,argentina,misiones,82.49955109332402
ARG,argentina,neuquen,80.31031966624317
ARG,argentina,rio negro,78.33474456597486
ARG,argentina,salta,82.1939760952716
ARG,argentina,san juan,75.99847143471148
ARG,argentina,san luis,79.07382877999021
ARG,argentina,santa cruz,85.65351542049027
ARG,argentina,santa fe,76.20611024067067
ARG,argentina,santiago del estero,81.68987599921462
ARG,argentina,tierra del fuego,81.30700093402585
ARG,argentina,tucuman,80.00335149328487
ARM,armenia,aragatsotn,74.0749897277516
ARM,armenia,ararat,73.94800367429042
ARM,armenia,armavir,74.23484870278116
ARM,armenia,gegharkunik,74.98579959634654
ARM,armenia,kotayk,73.8807308314352
ARM,armenia,lori,70.74990776077001
ARM,armenia,shirak,72.84349079966795
ARM,armenia,syunik,71.48140541940384
ARM,armenia,tavush,70.53579341327956
ARM,armenia,vayots dzor,70.98027551087027
ARM,armenia,yerevan,71.11940243916939
ASM,american samoa,eastern,89.09729491350633
ASM,american samoa,manua,82.88296672828098
ASM,american samoa,unorganized,71.15166666666667
ASM,american samoa,western,87.41664123479387
ATG,antigua and barbuda,barbuda,82.58592169312169
ATG,antigua and barbuda,saint george,80.77352660413435
ATG,antigua and barbuda,"saint john
city",80.02405213849286
ATG,antigua and barbuda,"saint john
rural",81.12497164198325
ATG,antigua and barbuda,saint mary,80.50222165344255
ATG,antigua and barbuda,saint paul,80.9880529896169
ATG,antigua and barbuda,saint peter,74.04427139267293
ATG,antigua and barbuda,saint philip,74.37370450767577
AUS,australia,australian capital,89.64204000951683
AUS,australia,NaN,90.94797512293896
AUS,australia,new south wales,88.25622010892431
AUS,australia,northern,95.15332304827648
AUS,australia,queensland,88.74318702723805
AUS,australia,south australia,87.55334738074176
AUS,australia,tasmania,87.16026250400783
AUS,australia,victoria,88.48055977428326
AUS,australia,western australia,88.94390570190498
AUT,austria,burgenland,63.17178255561296
AUT,austria,karnten,63.97325283332269
AUT,austria,niederosterreich,65.13396294905706
AUT,austria,oberosterreich,66.79044850846782
AUT,austria,salzburg,67.14957057904307
AUT,austria,steiermark,65.30910257420163
