ISOALPHA,COUNTRYNM,NAME1,perc_susceptible
ABW,aruba,noord-tanki leendert,NA
ABW,aruba,oranjestad east,NA
ABW,aruba,oranjestad west,NA
ABW,aruba,paradera,NA
ABW,aruba,san nicolas north,NA
ABW,aruba,san nicolas south,NA
ABW,aruba,santa cruz,NA
ABW,aruba,savaneta,NA
AFG,afghanistan,badakhshan,92.24680098023092
AFG,afghanistan,badghis,92.24777640136266
AFG,afghanistan,baghlan,92.24841840330559
AFG,afghanistan,balkh,92.24778667358379
AFG,afghanistan,bamyan,92.24578334935293
AFG,afghanistan,daykundi,92.24918939388293
AFG,afghanistan,farah,92.24880552744082
AFG,afghanistan,faryab,92.24723980212556
AFG,afghanistan,ghazni,92.2475938127601
AFG,afghanistan,ghor,92.24755525038213
AFG,afghanistan,hilmand,92.24889675616872
AFG,afghanistan,hirat,92.2452522624081
AFG,afghanistan,jawzjan,92.24675990635835
AFG,afghanistan,kabul,92.25032629701984
AFG,afghanistan,kandahar,92.24851026956354
AFG,afghanistan,kapisa,92.24455942422684
AFG,afghanistan,khost,92.2480732177264
AFG,afghanistan,kunar,92.24833508065879
AFG,afghanistan,kunduz,92.24669544928452
AFG,afghanistan,laghman,92.24856090658537
AFG,afghanistan,logar,92.24683694286021
AFG,afghanistan,nangarhar,92.24798095227368
AFG,afghanistan,nimroz,92.24918310727497
AFG,afghanistan,nuristan,92.2482470173383
AFG,afghanistan,paktika,92.24893627002886
AFG,afghanistan,paktya,92.24791634814731
AFG,afghanistan,panjshir,92.24915116837924
AFG,afghanistan,parwan,92.24509720438829
AFG,afghanistan,samangan,92.24841391946252
AFG,afghanistan,sari pul,92.24824349017815
AFG,afghanistan,takhar,92.24711824838721
AFG,afghanistan,uruzgan,92.24998471266423
AFG,afghanistan,wardak,92.24733049139648
AFG,afghanistan,zabul,92.24896259893107
AGO,angola,bengo,90.13255206847236
AGO,angola,benguela,90.11769707336533
AGO,angola,bie,90.1197397667159
AGO,angola,cabinda,90.12815919720585
AGO,angola,cuando cubango,90.12628120775177
AGO,angola,cuanza norte,90.12817456261342
AGO,angola,cuanza sul,90.12368808070852
AGO,angola,cunene,90.11480799118992
AGO,angola,huambo,90.11917934785207
AGO,angola,huila,88.03539877465047
AGO,angola,luanda,90.1280456742129
AGO,angola,lunda norte,90.14247165101419
AGO,angola,lunda sul,90.12954742621827
AGO,angola,malanje,90.1268999725372
AGO,angola,moxico,90.12631266007457
AGO,angola,namibe,90.12414629370684
AGO,angola,uige,90.12852855385914
AGO,angola,zaire,90.13249770986322
ALA,aland islands,brando,NA
ALA,aland islands,eckero,NA
ALA,aland islands,finstrom,NA
ALA,aland islands,foglo,NA
ALA,aland islands,geta,NA
ALA,aland islands,hammarland,NA
ALA,aland islands,jomala,NA
ALA,aland islands,kokar,NA
ALA,aland islands,kumlinge,NA
ALA,aland islands,lemland,NA
ALA,aland islands,lumparland,NA
ALA,aland islands,mariehamn,NA
ALA,aland islands,saltvik,NA
ALA,aland islands,sottunga,NA
ALA,aland islands,sund,NA
ALA,aland islands,vardo,NA
ALB,albania,berat,70.64041410239092
ALB,albania,diber,76.84212327631677
ALB,albania,durres,73.82499119662715
ALB,albania,elbasan,74.2553871733029
ALB,albania,fier,71.03677321253544
ALB,albania,gjirokaster,67.97128530615959
ALB,albania,korce,70.31794332468981
ALB,albania,kukes,79.31364149512923
ALB,albania,lezhe,73.78790904256176
ALB,albania,shkoder,72.72981610660901
ALB,albania,tirane,74.59721604031073
ALB,albania,vlore,70.36609894772766
AND,andorra,andorra la vella,71.15582316621388
AND,andorra,canillo,67.32015054536737
AND,andorra,encamp,74.91500948862205
AND,andorra,escaldes-engordany,70.38291248459237
AND,andorra,la massana,74.0997812727841
AND,andorra,ordino,76.84411961165048
AND,andorra,sant julia de loria,72.77116682174665
ARE,united arab emirates,abu dhabi,91.9365088826075
ARE,united arab emirates,ajman,92.01051219834434
ARE,united arab emirates,dubai,91.69326525652679
ARE,united arab emirates,fujairah,92.04147049129215
ARE,united arab emirates,ras al-khaimah,92.06650876186835
ARE,united arab emirates,sharjah,91.95533877622779
ARE,united arab emirates,umm al-qaywayn,92.07994132173528
ARG,argentina,buenos aires,81.10342196275806
ARG,argentina,catamarca,84.11861512129522
ARG,argentina,chaco,84.81295419281314
ARG,argentina,chubut,83.50901539975152
ARG,argentina,ciudad de buenos aires,76.42656489383258
ARG,argentina,cordoba,83.39694209931251
ARG,argentina,corrientes,83.7604422773511
ARG,argentina,entre rios,81.53886698928507
ARG,argentina,formosa,84.72835055524946
ARG,argentina,jujuy,84.70753722550714
ARG,argentina,la pampa,80.37896725233733
ARG,argentina,la rioja,79.31752224049522
ARG,argentina,mendoza,81.77636903649261
ARG,argentina,misiones,85.61159579462095
ARG,argentina,neuquen,83.81166787048973
ARG,argentina,rio negro,82.18740250265112
ARG,argentina,salta,85.36036014858223
ARG,argentina,san juan,80.26658079538846
ARG,argentina,san luis,82.79505791022247
ARG,argentina,santa cruz,88.20470148183009
ARG,argentina,santa fe,80.4372959058862
ARG,argentina,santiago del estero,84.9459024406276
ARG,argentina,tierra del fuego,84.63111273280501
ARG,argentina,tucuman,83.559286793052
ARM,armenia,aragatsotn,78.68514523170795
ARM,armenia,ararat,78.58074067183702
ARM,armenia,armavir,78.81657703444907
ARM,armenia,gegharkunik,79.4339889107174
ARM,armenia,kotayk,78.52543072749172
ARM,armenia,lori,75.95135116664845
ARM,armenia,shirak,77.67263952684007
ARM,armenia,syunik,76.55276910991601
ARM,armenia,tavush,75.7753120379214
ARM,armenia,vayots dzor,76.1407534112424
ARM,armenia,yerevan,76.25513987589227
ASM,american samoa,eastern,91.03608549968851
ASM,american samoa,manua,85.92682994454715
ASM,american samoa,unorganized,76.28166666666667
ASM,american samoa,western,89.65429669029706
ATG,antigua and barbuda,barbuda,85.6826074074074
ATG,antigua and barbuda,saint george,84.19250431009509
ATG,antigua and barbuda,"saint john
city",83.5763063136456
ATG,antigua and barbuda,"saint john
rural",84.48145308435286
ATG,antigua and barbuda,saint mary,83.96944458663937
ATG,antigua and barbuda,saint paul,84.36888220551378
ATG,antigua and barbuda,saint peter,78.65988943261473
ATG,antigua and barbuda,saint philip,78.93074058863792
AUS,australia,australian capital,91.48396044690242
AUS,australia,NaN,92.55766560601678
AUS,australia,new south wales,90.34457613785325
AUS,australia,northern,96.01519095846221
AUS,australia,queensland,90.74494740219683
AUS,australia,south australia,89.76669285200393
AUS,australia,tasmania,89.44350890834453
AUS,australia,victoria,90.52902225130424
AUS,australia,western australia,90.90997296457391
AUT,austria,burgenland,69.72081792991669
AUT,austria,karnten,70.37976550182074
AUT,austria,niederosterreich,71.33407052562431
AUT,austria,oberosterreich,72.69598894933303
AUT,austria,salzburg,72.99124957596406
AUT,austria,steiermark,71.4780656729715
