ISOALPHA,COUNTRYNM,mean_vax,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,min_admin1_vax,max_admin1_vax,std_admin1_vax
ABW,aruba,NA,NA,36.60717087767973,42.62692396405765,NA,NA,NA,NA
AFG,afghanistan,10.350169097793508,95,20.0641298819429,12.406730716176046,10.894914839782643,10.346734446330451,10.354931512440404,0.001724921637554453
AGO,angola,13.183500375824092,93,20.72402049228443,13.361435694126339,14.175806855724828,13.161382915103076,13.198182825974143,0.00860144754946488
ALA,aland islands,45.97693355576775,95,41.65573039612605,49.846559696456545,48.39677216396606,39.45119570522206,59.8708791208791,6.169214074616199
ALB,albania,35.56866277735605,80,35.22640639847996,38.065203928436816,44.460828471695066,27.620316090606384,42.76258035912214,4.201640341914654
AND,andorra,37.109160230642246,80,40.08949272029629,44.50647245684382,46.386450288302804,30.91173794358508,43.629318695511785,4.2371978126692325
ARE,united arab emirates,10.863768039668111,80,28.207802187302164,15.248645640558706,13.579710049585138,10.57686393593216,11.09055341055948,0.17698651291049655
ARG,argentina,24.428469295410704,75,32.586166622141974,31.729656063152984,30.57687282071129,19.250243607826143,31.47323629942947,2.894138638386934
ARM,armenia,30.265035955567303,80,35.407066351651864,37.83129494445913,37.83129494445913,27.45877824812058,32.34311516440155,1.83049558293187
ASM,american samoa,14.503758820427121,95,26.742587348597116,23.95526224183029,15.267114547818025,14.335180958591456,33.52941176470588,9.048559251843027
ATG,antigua and barbuda,21.7584135392,80,32.4970741947716,31.822208271545144,27.198016923999994,19.29609727141074,25.205012945203777,1.8102478995794271
AUS,australia,12.67037482070328,30,37.91472517481669,42.234582735677606,42.234582735677606,9.565512289288163,14.094124650584172,1.5391039769220392
AUT,austria,36.742087642510164,81.5,41.48625472718724,48.8026966324131,45.59159422641774,34.14154981704853,40.425969981577545,2.21026401629733
AZE,azerbaijan,22.304816108066806,80,30.507910497902582,27.8810201350835,27.8810201350835,18.839932576408103,26.448003932203985,2.0585927111504447
BDI,burundi,9.758583337793839,69.33333333333334,20.926877874910282,13.149497675668588,13.940833339705481,8.647753781758924,11.740285933701088,0.9154613867718876
BEL,belgium,37.24599054537819,81.5,40.7821437776475,47.62187783191169,46.23373033461596,29.67801415993112,38.9428805657684,4.8496244218263636
BEN,benin,10.77985137818861,80,20.958287143033605,12.659450365048706,13.474814222735763,8.60010363408916,12.675324675324672,1.280036871715166
BES,"bonaire, saint eustatius and saba",25.560716705318946,81.5,36.66445546340454,41.60981601625119,32.23942459520129,22.63166760247052,26.167109163551995,1.7677837653972976
BFA,burkina faso,12.807723686687789,86,21.409545343622305,14.097596916730696,14.892701961264867,10.71792815539641,15.364344433800106,1.3828321090008597
BGD,bangladesh,16.348597956673537,79,25.742602357358226,19.536168011462404,20.694427793257642,14.578657341769963,18.530611578586587,1.5281959375938146
BGR,bulgaria,40.446112541631685,80,42.123120491398275,49.16210536781667,50.55764067703963,36.235768134030046,47.401769981587435,2.914369062644724
BHR,bahrain,15.649628731063977,80,29.772612111169586,21.283341773312102,19.562035913829963,15.60850395761024,15.679988812945448,0.03197582194652511
BHS,bahamas,19.270004782671826,80,30.52739991798483,28.508277200427646,24.08750597833979,18.44421342287915,37.11111111111112,5.061742983831052
BIH,bosnia and herzegovina,35.47135738758652,80,39.49803177607327,45.70812533525565,44.33919673448316,33.98379610854265,38.381671460075246,2.206913930733794
BLR,belarus,35.27412950572291,80,38.97685780722111,44.09266188215362,44.09266188215362,32.26041524674944,37.555128904277034,1.6952237750212813
BLZ,belize,16.24599880286181,80,25.45862015627034,19.23180852970203,20.307498503577257,13.379503004710086,17.98889469900202,1.7509493878263092
BMU,bermuda,19.79228552563585,60,39.70325267336854,46.81655194101364,32.98714254272642,18.416692619121765,21.03662597114317,0.9405104619261614
BOL,bolivia (plurinational state of),22.762026233655543,91.66666666666666,27.603854614102126,22.672992796004767,23.755620946233464,15.574602542330362,25.64030898528936,3.2661515579906433
BRA,brazil,20.126738920718974,83.5,31.566116215611995,29.245302281511304,24.047649752392925,11.399102845619538,25.06539545165184,3.5085408148721053
BRB,barbados,29.582612609079103,80,37.22770925457325,41.422584034388805,36.97826576134887,26.810624055279636,31.55072228534329,1.533683346182059
BRN,brunei darussalam,20.05400030309262,80,29.054857047391756,23.535723449405126,25.06750037886577,19.284605821580143,23.45397076254445,1.9941184358072728
BTN,bhutan,14.56141066520731,77,25.019881474630054,17.955052991928294,18.910922941827675,10.641650117543495,19.78105893186003,1.9503527793334623
