ISOALPHA,COUNTRYNM,NAME1,tot_popn_2020,prop_vaxxed,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,perc_vaxxed
ABW,aruba,noord-tanki leendert,24652,NA,NA,35.22941379706391,40.047892652166546,NA,NA
ABW,aruba,oranjestad east,13074,NA,NA,38.784767124871735,46.468286554032176,NA,NA
ABW,aruba,oranjestad west,14884,NA,NA,37.029538635486844,43.24043800270504,NA,NA
ABW,aruba,paradera,14918,NA,NA,34.96455307957075,39.5738142946698,NA,NA
ABW,aruba,san nicolas north,9891,NA,NA,36.87329016736745,42.58911047832357,NA,NA
ABW,aruba,san nicolas south,3784,NA,NA,38.96336900862989,47.418052931625795,NA,NA
ABW,aruba,santa cruz,12139,NA,NA,37.129887496052675,43.88622646692484,NA,NA
ABW,aruba,savaneta,12054,NA,NA,37.08994241976494,44.01474216448284,NA,NA
AFG,afghanistan,badakhshan,1489481,0.1035157591740425,95,20.06503289777948,12.408233065510998,10.89639570253079,10.35157591740425
AFG,afghanistan,badghis,791049,0.10350480144430096,95,20.06432953798737,12.407062884354577,10.89524225729484,10.350480144430097
AFG,afghanistan,baghlan,1159729,0.10349483283919322,95,20.063689668581787,12.405998332286948,10.894192930441395,10.349483283919323
AFG,afghanistan,balkh,1573329,0.10350215518930198,95,20.064159678955438,12.406780289528097,10.894963704137048,10.350215518930197
AFG,afghanistan,bamyan,610995,0.10353417477374377,95,20.06621496675574,12.410199676137742,10.89833418670987,10.353417477374377
AFG,afghanistan,daykundi,614436,0.10348789791472214,95,20.063244526462988,12.405257748413401,10.89346293839181,10.348789791472214
AFG,afghanistan,farah,757805,0.10349198978424642,95,20.06350717726437,12.405694721100696,10.893893661499623,10.349198978424642
AFG,afghanistan,faryab,1437769,0.10350950741972459,95,20.064631607300424,12.407565437702141,10.895737623128905,10.35095074197246
AFG,afghanistan,ghazni,1027163,0.10350572309506714,95,20.064388697330276,12.407161307877043,10.895339273164963,10.350572309506715
AFG,afghanistan,ghor,995321,0.10350715328531591,95,20.064480499039195,12.407314038572057,10.895489819506938,10.350715328531592
AFG,afghanistan,hilmand,1211209,0.10348890542317911,95,20.063309196878805,12.405365340719381,10.893568991913586,10.34889054231791
AFG,afghanistan,hirat,2895183,0.10353586934691582,95,20.066323738797223,12.410380640410533,10.898512562833245,10.353586934691581
AFG,afghanistan,jawzjan,631305,0.10352022969763416,95,20.065319853802166,12.408710474845758,10.896866283961494,10.352022969763416
AFG,afghanistan,kabul,5782473,0.10346734446330454,95,20.061925232078334,12.403062835587871,10.891299417189952,10.346734446330453
AFG,afghanistan,kandahar,1716105,0.10349267815574206,95,20.063551362770262,12.405768232619216,10.89396612165706,10.349267815574207
AFG,afghanistan,kapisa,573971,0.10354931512440403,95,20.067186802541453,12.411816521365918,10.899927907832001,10.354931512440404
AFG,afghanistan,khost,1017157,0.10349929513691342,95,20.063976096598427,12.406474863176983,10.894662645990888,10.349929513691341
AFG,afghanistan,kunar,643147,0.10349878120405705,95,20.063943108040075,12.406419980043488,10.894608547795478,10.349878120405705
AFG,afghanistan,kunduz,1087995,0.10351931811176368,95,20.065261340509398,12.408613126158276,10.896770327554073,10.351931811176367
AFG,afghanistan,laghman,650462,0.10349543250771107,95,20.063728160380172,12.406062371172395,10.894256053443272,10.349543250771106
AFG,afghanistan,logar,543766,0.10352109179832059,95,20.065375190717184,12.408802538986956,10.896957031402167,10.352109179832059
AFG,afghanistan,nangarhar,2134202,0.10349965831510935,95,20.063999408447366,12.406513647148783,10.894700875274669,10.349965831510936
AFG,afghanistan,nimroz,198688,0.10350292207850931,95,20.064208904392295,12.406862185990288,10.89504442931677,10.35029220785093
AFG,afghanistan,nuristan,203236,0.1035116243905081,95,20.0647674923939,12.407791510016207,10.895960462158747,10.35116243905081
AFG,afghanistan,paktika,568559,0.10349078889862953,95,20.063430094266536,12.40556647795608,10.893767252487319,10.349078889862954
AFG,afghanistan,paktya,759246,0.10350452605962912,95,20.06431186146951,12.407033475894854,10.895213269434645,10.350452605962913
AFG,afghanistan,panjshir,188180,0.10350215988258102,95,20.0641599802098,12.406780790725596,10.894964198166427,10.350215988258102
AFG,afghanistan,parwan,813089,0.10354166102304026,95,20.066695497565785,12.41099913625089,10.899122212951607,10.354166102304026
AFG,afghanistan,samangan,517653,0.1034986122159409,95,20.06393226095322,12.406401933722412,10.894590759572726,10.34986122159409
AFG,afghanistan,sari pul,714184,0.10349893719806659,95,20.063953121055242,12.406436638717754,10.894624968217533,10.349893719806659
AFG,afghanistan,takhar,1402940,0.10351177146140164,95,20.064776932648,12.407807215786685,10.895975943305437,10.351177146140165
AFG,afghanistan,uruzgan,467274,0.10347847365880525,95,20.062639597993403,12.404251327654048,10.892470911453186,10.347847365880526
AFG,afghanistan,wardak,869141,0.1035096659769926,95,20.064641784847208,12.407582370107997,10.895754313367643,10.35096659769926
AFG,afghanistan,zabul,396470,0.1034917552644377,95,20.063492123799122,12.405669676619087,10.893868975203969,10.34917552644377
AGO,angola,bengo,230329,0.1317544399816195,93,20.715618791447127,13.352728267831356,14.167144084045107,13.175443998161951
AGO,angola,benguela,1590786,0.1319420136550454,93,20.735180162017983,13.373001447723484,14.187313296241442,13.19420136550454
AGO,angola,bie,862225,0.13191687311404998,93,20.73255834718767,13.370284228932192,14.184610012263443,13.191687311404998
AGO,angola,cabinda,1130858,0.13180334107728306,93,20.720718507394057,13.35801355489325,14.172402266374526,13.180334107728306
AGO,angola,cuando cubango,335896,0.13183347616161953,93,20.723861184834472,13.361270589714072,14.175642598023606,13.183347616161953
AGO,angola,cuanza norte,249774,0.1318153517592749,93,20.721971057375942,13.359311683315006,14.17369373755644,13.18153517592749
AGO,angola,cuanza sul,1520785,0.13186224257958357,93,20.726861129077786,13.364379697488015,14.17873576124554,13.186224257958356
AGO,angola,cunene,998857,0.13198182825974145,93,20.739332281141984,13.377304656316644,14.191594436531336,13.198182825974145
AGO,angola,huambo,1349138,0.131923178092095,93,20.733215870227703,13.370965678262403,14.185287966891932,13.1923178092095
AGO,angola,huila,2572897,0.13192244466730702,93,20.733139384046027,13.370886408861784,14.185209104011504,13.1922444667307
