NAME1,ISOALPHA,COUNTRYNM,tot_popn_2020,A00_04B,A05_09B,A10_14B,A15_19B,A20_24B,A25_29B,A30_34B,A35_39B,A40_44B,A45_49B,A50_54B,A55_59B,A60_64B,A65_69B,A70_74B,A75_79B,A80_84B,A85PLUSB
1,GUM,guam,4011,310,337,380,331,333,272,240,249,291,281,245,218,188,103,96,63,42,24
10,GUM,guam,1725,181,172,197,190,120,82,90,109,120,111,95,62,59,46,37,26,11,7
11,GUM,guam,8686,887,835,848,742,615,587,557,585,648,611,480,419,316,175,137,118,59,52
12,GUM,guam,1384,120,108,122,122,93,88,85,121,96,95,83,82,52,38,30,17,12,11
13,GUM,guam,5380,446,468,430,473,791,358,424,393,378,300,198,198,186,95,109,58,37,26
14,GUM,guam,2567,252,186,198,248,194,177,155,201,169,162,134,135,106,77,56,61,30,16
15,GUM,guam,3152,292,258,338,318,205,193,192,214,285,197,183,158,108,75,52,38,20,17
16,GUM,guam,23453,1755,1668,1721,1519,1601,1720,1783,2019,2192,1986,1573,1264,997,646,401,297,186,103
17,GUM,guam,751,89,60,82,82,57,43,40,56,54,44,38,36,32,16,6,2,5,0
18,GUM,guam,23608,2277,2284,2412,2179,2019,1713,1567,1587,1602,1602,1283,937,839,460,404,222,124,78
19,GUM,guam,7057,737,698,701,674,540,433,418,489,488,397,366,360,318,171,115,72,42,21
2,GUM,guam,4659,441,434,456,429,305,258,288,322,307,300,259,233,206,136,128,77,46,23
3,GUM,guam,2382,219,209,197,202,167,162,137,169,160,180,141,135,95,74,42,34,27,22
4,GUM,guam,9918,822,842,928,907,698,540,556,736,756,737,594,538,455,262,215,165,102,54
5,GUM,guam,8561,763,763,829,786,586,517,580,632,612,630,554,447,292,199,165,97,60,35
6,GUM,guam,51241,4614,4602,5122,4946,3724,3405,3098,3403,3510,3465,2995,2476,2149,1385,1075,662,387,194
6 october,EGY,egypt,2866230,331082,318537,303567,326477,307393,255788,181352,173255,137824,118420,93330,67145,50607,32352,22041,0,0,0
7,GUM,guam,1094,83,73,67,63,80,107,96,97,114,87,63,62,37,16,20,11,3,6
8,GUM,guam,1844,170,154,196,209,132,110,115,123,136,115,107,86,68,49,33,17,8,8
9,GUM,guam,18894,1686,1660,1778,1824,1646,1428,1290,1404,1283,1275,1057,888,674,356,273,190,85,74
aargau,CHE,switzerland,687055,34907,34485,37432,40689,43974,47337,45706,47837,57470,60139,52989,45539,40582,34274,25094,20669,15044,12573
abaiang,KIR,kiribati,4975,678,534,589,529,502,407,325,272,296,253,188,141,96,73,53,30,13,6
abemama,KIR,kiribati,2558,348,274,303,272,258,209,167,140,152,130,97,73,49,37,27,15,6,3
abia,NGA,nigeria,3994320,455381,470625,483409,478451,405472,345435,267371,220151,200156,162699,144107,82317,84080,49213,48870,26040,26542,28139
abidjan,CIV,cote d'ivoire,5280721,830835,743927,671692,571453,482895,410774,352096,292803,242278,200587,164899,132656,106367,78170,49681,25706,0,0
abim,UGA,uganda,171138,28150,25494,22598,18178,14647,11430,8972,7059,5846,4231,3716,2209,2024,1384,1276,691,605,613
abkhazia,GEO,georgia,283807,14436,13354,16190,17424,22730,22023,20922,18200,18147,19781,20316,17659,14226,9408,0,0,0,0
abra,PHL,philippines,250600,26353,27348,25099,24967,22106,19763,17306,14661,14013,12835,11437,9129,6891,4942,4835,3219,0,0
abruzzo,ITA,italy,1306005,55291,55509,57402,62321,68910,75650,83425,95553,101772,101921,90696,83273,83567,64807,67834,0,0,0
absheron,AZE,azerbaijan,477778,40348,35003,39259,45288,50796,47064,39806,36551,35370,34611,25297,16330,8527,7210,6871,3629,1503,584
abu dhabi,ARE,united arab emirates,2640723,119380,113945,105291,98198,181493,274252,264482,206606,140880,93176,57314,27717,11380,6047,3957,1800,0,0
abuja,NGA,nigeria,4647518,725403,580415,457032,400890,484248,574237,429545,325889,225140,159975,102128,54097,37796,20761,17604,9009,11554,13345
abyan,YEM,yemen,673320,84141,92183,92659,81223,63802,53382,38655,36028,26534,21700,17296,10534,12394,7891,8963,3429,3852,2865
acklins,BHS,bahamas,745,67,73,72,40,49,52,53,54,56,32,33,23,27,16,23,24,14,9
