ISOALPHA,COUNTRYNM,mean_susceptibility,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,min_admin1_susc,max_admin1_susc,std_admin1_susc
ABW,aruba,NA,NA,26.716314477297836,20.73920407973405,NA,NA,NA,NA
AFG,afghanistan,91.64765168338886,95,20.06394648202435,12.406409996529192,10.894604208714751,91.64400461328579,91.65021805299735,0.0014282025569066954
AGO,angola,89.08060552128799,93,20.958139527196927,13.719338889468238,14.549299114884539,87.10890094945651,89.37913834762143,0.5310610311049572
ALA,aland islands,NA,NA,41.6410729114765,49.84089021757183,NA,NA,NA,NA
ALB,albania,71.29642206016696,80,35.22598366733083,38.06464438283956,44.46031279404126,65.49109111090893,77.71176059622069,3.3909759039445553
AND,andorra,70.05532534246575,80,40.085873287671234,44.50199771689498,46.382705479452056,64.78953469974829,75.05100737864078,3.4200811613728987
ARE,united arab emirates,91.23310133870211,80,28.207742708214315,15.248400988129056,13.579458892964505,91.05002010950216,91.46663904758394,0.1432511791298435
ARG,argentina,80.90564031494883,75,32.01275855636771,30.715430406748183,29.562867240609034,74.60111865063138,87.291313879622,2.695282952055663
ARM,armenia,75.57645049599903,80,35.4067562424839,37.830776802975485,37.830776802975485,73.89943499946938,77.84142730433771,1.4770631312492102
ASM,american samoa,89.62287040233774,95,25.126170718582497,19.92611892560662,13.53568068566133,74.44500000000001,90.3419505984628,7.170265065956794
ATG,antigua and barbuda,82.04504109433908,80,32.303273061006855,31.796750767953117,27.81127463702124,77.00738420843804,84.57391746031746,2.8608495739094795
AUS,australia,91.60287049430143,30,33.588167496316366,34.68454979635922,34.68454979635922,88.62605031913756,95.70662096592658,2.141790126993709
AUT,austria,70.34917113303898,81.5,41.48622674365765,48.80266352470723,45.59155408287799,67.37610156133881,72.4478038644098,1.7837365958812061
AZE,azerbaijan,82.0097251931448,80,30.50154247138335,27.86597708620694,27.86597708620694,78.65682352012449,84.79910877841435,1.66511763762856
BDI,burundi,92.12572375020339,69.33333333333336,20.926605136248064,13.147881010438303,13.939239245524139,90.52602715267693,93.0215116047859,0.7387638346031403
BEL,belgium,69.94249325694004,81.5,40.78213462277305,47.621871855569744,46.23372401155831,68.57309268121281,76.04989066123007,3.9136707263004005
BEN,benin,90.91896444325822,80,21.65743236595004,13.213365392867756,14.066040205609948,89.85707066918658,93.0599292859671,1.0137791256164295
BES,"bonaire, saint eustatius and saba",NA,NA,36.656056872037915,41.600758293838865,NA,NA,NA,NA
BFA,burkina faso,89.67152110338175,86,21.67472917631449,14.061075161636891,14.882105554044925,87.60125809246834,90.84311770846773,0.8888308553988713
BGD,bangladesh,86.80687123184504,79,25.742611544913537,19.53585650698261,20.694130108630134,85.04580438408546,88.23503298903023,1.233252503758248
BGR,bulgaria,67.3600235330135,80,42.12302845066928,49.16203685231145,50.557584366459885,61.74587798887162,70.75776484611492,2.3520554710633697
BHR,bahrain,87.81410951625894,80,25.47816488312411,19.94182416805837,18.875295049165217,87.3475742690972,89.16959064346065,0.7905545895750327
BHS,bahamas,86.37057427357578,80,29.049935089268658,24.747664696095782,21.11125422308586,70.58933333333333,86.82898146607074,4.246226336733795
BIH,bosnia and herzegovina,71.37463152745215,80,39.49800269711358,45.708102343611145,44.33917049651153,69.026010427528675,72.57510895094669,1.7809645688024678
BLR,belarus,71.53381298562658,80,38.97681988332802,44.092606899587075,44.092606899587075,69.69304050586658,73.96585674479911,1.3680395065745823
BLZ,belize,85.72440154238465,80,26.383790756231285,21.01987091807628,22.11214135318363,80.27253892554194,89.2090890770715,3.1785137552318843
BMU,bermuda,73.00854972875224,80,39.695923064277494,46.80815387144501,41.80831826401447,71.61530084033613,74.35231144683323,1.0762344278461506
BOL,bolivia (plurinational state of),81.66821863898322,91.66666666666667,27.574379273022924,22.627620774471545,23.707850598728143,80.0554181276848,87.43281506866938,2.5023832414710365
BRA,brazil,83.73196463600094,83.5,31.589950540684672,29.289407128148024,24.085817671941467,79.77223176549272,90.80113890005582,2.8498490266165053
BRB,barbados,81.90117463169315,80,32.74917286659287,32.11112720045624,28.034116121912703,74.53975792339807,83.99981553738681,3.2350892393452155
BRN,brunei darussalam,83.81783282958135,80,29.05358356150778,23.53347223194111,25.06531470015282,81.073983242419,84.4379130348653,1.6057085782054454
