ISOALPHA,COUNTRYNM,NAME1,pop_size,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,perc_susceptible,perc_foreign_born
ABW,aruba,noord-tanki leendert,24616,NA,35.22714900877478,40.04712382190445,NA,NA,NA
ABW,aruba,oranjestad east,13052,NA,38.779650628256206,46.46337726019001,NA,NA,NA
ABW,aruba,oranjestad west,14860,NA,37.02537012113055,43.23418573351279,NA,NA,NA
ABW,aruba,paradera,14893,NA,34.9582689854294,39.566239172765734,NA,NA,NA
ABW,aruba,san nicolas north,9873,NA,36.871366352679026,42.584827306796306,NA,NA,NA
ABW,aruba,san nicolas south,3770,NA,38.95092838196287,47.42705570291777,NA,NA,NA
ABW,aruba,santa cruz,3540082,NA,26.458113399633117,20.168024356497956,NA,NA,NA
ABW,aruba,savaneta,12032,NA,37.086519281914896,44.01263297872341,NA,NA,NA
AFG,afghanistan,badakhshan,1301122,95,20.06493549413506,12.408044749070417,10.896211116251973,91.64641974772543,NA
AFG,afghanistan,badghis,691006,95,20.064083379883822,12.406665065136917,10.894840276350712,91.64747070213572,NA
AFG,afghanistan,baghlan,1013068,95,20.06355545728421,12.405741766594149,10.893938017981023,91.64816241851484,NA
AFG,afghanistan,balkh,1374368,95,20.06407745232718,12.406648001117604,10.894825839949709,91.64748176980255,NA
AFG,afghanistan,bamyan,533721,95,20.065871494657323,12.409517332089237,10.897641276996783,91.64532331499042,NA
AFG,afghanistan,daykundi,536728,95,20.06284561267532,12.404607175329032,10.89285448122699,91.64899311196733,NA
AFG,afghanistan,farah,661970,95,20.063197727993717,12.405184524978473,10.893393960451379,91.64857952021995,NA
AFG,afghanistan,faryab,1255948,95,20.064533722733742,12.407408586979717,10.895594403589957,91.64689255048776,NA
AFG,afghanistan,ghazni,897266,95,20.06421395661933,12.406889372828125,10.895096883198518,91.64727397449586,NA
AFG,afghanistan,ghor,869451,95,20.064266991469328,12.406955653625102,10.895151078094107,91.64723242597915,NA
AFG,afghanistan,hilmand,1058039,95,20.063124327175085,12.405043670412907,10.89326574918316,91.64867781338873,NA
AFG,afghanistan,hirat,2529053,95,20.06625642088165,12.41025791076739,10.89838765735633,91.64475110248776,NA
AFG,afghanistan,jawzjan,551464,95,20.064996083153208,12.408099168758069,10.896268840758419,91.64637549323255,NA
AFG,afghanistan,kabul,5051272,95,20.06189708255663,12.403018487224603,10.891256697322971,91.65021805299735,NA
AFG,afghanistan,kandahar,1499090,95,20.0634685042259,12.40560606768106,10.893808910739182,91.64826139858181,NA
AFG,afghanistan,kapisa,501378,95,20.06685774006837,12.411194747276506,10.899361360091588,91.64400461328579,NA
AFG,afghanistan,khost,888528,95,20.06382016098536,12.406226928132822,10.894423135793133,91.64779050294419,NA
AFG,afghanistan,kunar,561811,95,20.063628159647994,12.40588026934325,10.894055118180313,91.64807264364705,NA
AFG,afghanistan,kunduz,950400,95,20.065019991582492,12.408186026936026,10.896359427609427,91.64630604482323,NA
AFG,afghanistan,laghman,568198,95,20.063412754004766,12.405534690372019,10.893737746348984,91.64831595676155,NA
AFG,afghanistan,logar,474993,95,20.06496095731937,12.40801443389692,10.896160574997946,91.64645849517782,NA
AFG,afghanistan,nangarhar,1864317,95,20.063894176795042,12.406355786059988,10.894552804056392,91.64769109277017,NA
AFG,afghanistan,nimroz,173554,95,20.06293718381599,12.404554202150338,10.892863316316536,91.64898633854592,NA
AFG,afghanistan,nuristan,177526,95,20.0637484086838,12.406070096774558,10.89417888083999,91.64797776100401,NA
AFG,afghanistan,paktika,496658,95,20.063133987572936,12.404994986489697,10.893210217091037,91.64872038706716,NA
AFG,afghanistan,paktya,663225,95,20.064035583700857,12.40646839307927,10.894643597572468,91.64762148592106,NA
AFG,afghanistan,panjshir,164373,95,20.062850954840513,12.40459199503568,10.892908202685355,91.64895192641127,NA
AFG,afghanistan,parwan,710256,95,20.066380291049988,12.410454821923363,10.898605573201776,91.64458403730485,NA
AFG,afghanistan,samangan,452187,95,20.06354450702917,12.405708257866767,10.893944319496137,91.64815758745829,NA
AFG,afghanistan,sari pul,623865,95,20.063675634953075,12.405985269248957,10.894183837849534,91.64797396071266,NA
AFG,afghanistan,takhar,1225522,95,20.06464918622432,12.407578158531631,10.89576523310067,91.64676158404336,NA
AFG,afghanistan,uruzgan,408181,95,20.062244445478843,12.403517067183431,10.891736754038037,91.64985001751674,NA
AFG,afghanistan,wardak,759224,95,20.06445133452051,12.407273742663563,10.895466950465211,91.64699026242585,NA
AFG,afghanistan,zabul,346327,95,20.063058900980867,12.404923670403981,10.89317321490961,91.64874875478955,NA
AGO,angola,bengo,228647,93,20.714621228356375,13.351323218760797,14.165766443469627,89.3684506265116,NA
AGO,angola,benguela,1579220,93,20.735037550183,13.372778966831728,14.187092362052153,89.35244531135625,NA
AGO,angola,bie,855952,93,20.732313260556666,13.369838495616577,14.18415985943137,89.35464618389815,NA
AGO,angola,cabinda,1122629,93,20.720500272129083,13.357680943570852,14.172072875366663,89.36371758630857,NA
AGO,angola,cuando cubango,333446,93,20.72326853523509,13.3604241766283,14.1747689281023,89.36169417176994,NA
AGO,angola,cuanza norte,247950,93,20.720927606372253,13.357693083282921,14.172050816696913,89.3637341415608,NA
AGO,angola,cuanza sul,1509729,93,20.726720822081315,13.364133563043435,14.178491636578485,89.35890024183149,NA
AGO,angola,cunene,991592,93,20.739123046575607,13.37695342439229,14.19123994546144,89.34933250853173,NA
AGO,angola,huambo,1339328,93,20.733031042433222,13.370645577483634,14.184964400057343,89.35404236811296,NA
AGO,angola,huila,3775739,93,22.607108568680196,16.23719224236633,17.176452079976926,87.10890094945651,NA
AGO,angola,luanda,13584129,93,20.72056677318067,13.357847234813509,14.172235849644832,89.36359527248305,NA
AGO,angola,lunda norte,703616,93,20.700643532836093,13.337047480443879,14.151525832272146,89.37913834762143,NA
AGO,angola,lunda sul,406503,93,20.718678582937887,13.3556701918559,14.170079925609405,89.36521331503087,NA
AGO,angola,malanje,753747,93,20.72233521327448,13.359495958192868,14.1738806257272,89.36236085158548,NA
AGO,angola,moxico,956195,93,20.723093615841957,13.360350137785703,14.174723774962219,89.3617280596531,NA
AGO,angola,namibe,509903,93,20.726130263991386,13.363482858504462,14.177833823295801,89.35939393727827,NA
AGO,angola,uige,724473,93,20.72014001902072,13.357157547624274,14.171542624776906,89.36411554467868,NA
AGO,angola,zaire,631447,93,20.71447880819768,13.351429336112137,14.16584448100949,89.36839205855756,NA
ALA,aland islands,brando,448,NA,47.2890625,62.14285714285713,NA,NA,NA
ALA,aland islands,eckero,1052,NA,43.875950570342205,55.09505703422053,NA,NA,NA
ALA,aland islands,finstrom,2688,NA,40.88467261904762,48.623511904761905,NA,NA,NA
ALA,aland islands,foglo,549,NA,47.54371584699454,60.10928961748634,NA,NA,NA
ALA,aland islands,geta,457,NA,43.37855579868709,53.7417943107221,NA,NA,NA
ALA,aland islands,hammarland,1657,NA,41.314423657211826,49.25769462884732,NA,NA,NA
ALA,aland islands,jomala,4985,NA,37.70160481444333,43.16549648946841,NA,NA,NA
ALA,aland islands,kokar,216,NA,47.61805555555556,63.796296296296305,NA,NA,NA
ALA,aland islands,kumlinge,316,NA,48.62183544303797,63.92405063291139,NA,NA,NA
ALA,aland islands,lemland,2043,NA,39.30127263827704,47.684777288301525,NA,NA,NA
ALA,aland islands,lumparland,400,NA,44.03125,57.70000000000001,NA,NA,NA
ALA,aland islands,mariehamn,11806,NA,42.24055564966966,49.6899881416229,NA,NA,NA
ALA,aland islands,saltvik,1905,NA,42.54015748031496,51.884514435695536,NA,NA,NA
ALA,aland islands,sottunga,97,NA,49.46907216494845,63.71134020618556,NA,NA,NA
ALA,aland islands,sund,1001,NA,43.365634365634364,54.24575424575424,NA,NA,NA
ALA,aland islands,vardo,485,NA,46.48247422680412,60.123711340206185,NA,NA,NA
ALB,albania,berat,111045,80,36.890229186365886,42.34499527218695,48.99797379440767,68.3669081183304,NA
ALB,albania,diber,106168,80,32.11009437872052,32.413721648707714,38.64799186195464,75.04885645392208,NA
ALB,albania,durres,288185,80,34.650772940992766,37.314572236584134,43.683259017644914,71.79808797820843,NA
ALB,albania,elbasan,253331,80,34.424132853855234,36.49391507553359,42.964974677398345,72.26181234827163,NA
ALB,albania,fier,264243,80,36.57168023372426,41.70577839337277,48.3364933035123,68.79395992325247,NA
ALB,albania,gjirokaster,54955,80,39.7697843690292,47.41442998817214,53.45246110454007,65.49109111090893,NA
ALB,albania,korce,193594,80,37.795239005341074,43.319834292385096,49.53614264904904,68.01946630577393,NA
ALB,albania,kukes,69907,80,30.23353884446479,28.251534181126353,34.52329523509806,77.71176059622069,NA
ALB,albania,lezhe,124102,80,34.669618539588406,37.2672479089781,43.74514512256047,71.75813430887494,NA
ALB,albania,shkoder,196081,80,35.54120236024908,39.37444219480725,45.51098780605974,70.61810627240781,NA
ALB,albania,tirane,1009756,80,34.560513133866,35.913151295956645,42.39449926516901,72.63011127440689,NA
ALB,albania,vlore,175810,80,37.73108469370343,43.44542403731301,49.45577612194983,68.07135093566919,NA
AND,andorra,andorra la vella,16196,80,41.08996048407014,46.45344529513461,48.13781180538405,68.92222869844406,NA
AND,andorra,canillo,8343,80,43.79132206640297,52.66450916936354,54.539134603859516,64.78953469974829,NA
AND,andorra,encamp,11909,80,38.23415064237132,39.96473255521034,41.86413636745319,72.97251356117222,NA
AND,andorra,escaldes-engordany,11358,80,41.37198450431414,47.59640781827786,49.42771614720902,68.08946645536186,NA
AND,andorra,la massana,9601,80,38.804187063847515,41.172794500572856,43.22466409748984,72.09415685866057,NA
AND,andorra,ordino,5150,80,35.86854368932039,36.50097087378641,38.644660194174755,75.05100737864078,NA
AND,andorra,sant julia de loria,7523,80,39.32719659710222,43.485311710753685,45.4419779343347,70.66265904559351,NA
ARE,united arab emirates,abu dhabi,1705918,80,28.05842426189301,15.108756692877384,13.457094655194446,91.31209969060646,NA
ARE,united arab emirates,ajman,310329,80,27.90858411556767,14.967985589487288,13.333591124258447,91.39183357017875,NA
ARE,united arab emirates,dubai,2365250,80,28.553503857943134,15.571977592220696,13.86304196173766,91.05002010950216,NA
ARE,united arab emirates,fujairah,179608,80,27.8457307024186,14.909024096922185,13.28192508128814,91.42518916752039,NA
ARE,united arab emirates,ras al-khaimah,251088,80,27.794343019180527,14.861243866692156,13.240138915440006,91.45216631619193,NA
ARE,united arab emirates,sharjah,1478870,80,28.020025424817597,15.07288673108522,13.42566959908579,91.3323877068302,NA
ARE,united arab emirates,umm al-qaywayn,54262,80,27.768770041649773,14.836165272197855,13.217721425675427,91.46663904758394,NA
ARG,argentina,buenos aires,17733984,75,33.18424554234401,32.82135587807004,31.631245409942853,79.64013554598898,NA
ARG,argentina,catamarca,400799,75,30.0868589991492,27.37127587643682,26.266382900156938,82.88881495712315,NA
ARG,argentina,chaco,1116148,75,29.04060079846042,26.018879216734696,24.95686951909603,83.63692127316449,NA
ARG,argentina,chubut,634244,75,30.81230015577601,28.252092254715855,27.057347014713578,82.23200991668821,NA
ARG,argentina,ciudad de buenos aires,2956227,75,39.10470322475236,41.60041837111967,40.34874182530638,74.60111865063138,NA
ARG,argentina,cordoba,5626099,75,30.721393189135135,28.758359922212534,27.60433828128513,82.11125804291748,NA
ARG,argentina,corrientes,1043897,75,29.96867890222886,27.88106489433344,26.802529368318908,82.50290643233959,NA
ARG,argentina,entre rios,1301641,75,32.49946221730877,31.977619020912833,30.846708116907813,80.10929994706682,NA
ARG,argentina,formosa,571725,75,28.84692378328742,26.191228300319207,25.09097905461542,83.54576621907385,NA
ARG,argentina,jujuy,733489,75,29.571427792373164,26.272568504776483,25.185544704828565,83.52334117621396,NA
ARG,argentina,la pampa,336708,75,33.582935362391154,34.05865022512087,32.86842011475819,78.85958153890017,NA
ARG,argentina,la rioja,701095,75,35.329086643036966,36.15866608662164,34.82635020931543,77.71594185324385,NA
ARG,argentina,mendoza,1895315,75,32.4377082437484,31.58259181191517,30.48078023969631,80.36519334105412,NA
ARG,argentina,misiones,1368533,75,27.981840408671182,24.587364718278625,23.537510604420937,84.49740695094674,NA
ARG,argentina,neuquen,646219,75,30.394015805787202,27.609896954438046,26.359670637972577,82.55809876032738,NA
ARG,argentina,rio negro,792120,75,31.871737236782305,30.648159369792456,29.43488360349442,80.80805583396456,NA
ARG,argentina,salta,1358978,75,28.712162374961185,25.197170226449582,24.13541646737475,84.22671647517473,NA
ARG,argentina,san juan,1107484,75,33.641546062967954,34.23460745256816,33.09514178082934,78.73849225884979,NA
ARG,argentina,san luis,508791,75,31.18898526113866,29.656381500458934,28.496180160419506,81.46276599939857,NA
ARG,argentina,santa cruz,3540082,75,26.458113399633117,20.168024356497956,19.07655811362562,87.291313879622,NA
ARG,argentina,santa fe,3351177,75,34.05634408448136,34.08376818055268,32.95266707786548,78.92242696401891,NA
ARG,argentina,santiago del estero,937136,75,29.060724377251542,25.9687601372693,24.958042375919824,83.78016457888717,NA
ARG,argentina,tierra del fuego,160381,75,29.048949065038876,25.655408059558177,24.355254051290363,83.44099863200753,NA
ARG,argentina,tucuman,1549336,75,30.495642004058514,28.200842167225186,27.159208848177542,82.28617415486377,NA
ARM,armenia,aragatsotn,133077,80,34.122662067825395,35.57218753052744,35.57218753052744,77.03459573029147,NA
ARM,armenia,ararat,258009,80,34.055174431899665,35.746427450205225,35.746427450205225,76.9221064381475,NA
ARM,armenia,armavir,274202,80,33.91767383170072,35.35284206533869,35.35284206533869,77.17620516261734,NA
ARM,armenia,gegharkunik,223459,80,33.42208861580872,34.322448413355474,34.322448413355474,77.84142730433771,NA
ARM,armenia,kotayk,266491,80,34.07554288887805,35.83873376586826,35.83873376586826,76.86251348075544,NA
ARM,armenia,lori,201346,80,36.30794502994845,40.134594181160786,40.134594181160786,74.08910599664259,NA
ARM,armenia,shirak,231296,80,34.82712411801328,37.26195005534034,37.26195005534034,75.94368504427227,NA
ARM,armenia,syunik,115843,80,35.938338958763154,39.130892673704935,39.130892673704935,74.73709568985609,NA
